"AuditType","Tab","Row","Name","PerkType","File","Style","Price","Requirements","CharType","Type","PrimaryStat","SecondaryStat","ScalingSource","DevStatus","Description","Details"
"MissingAbilityDefinition","Beast Mastery","130","Evasive Maneuver III","","","Evasion","3.0","38.0","Beast","Combat","MGT","PER","Design Only","Design","The beast gains +14% evasion chance for 3 minutes.",""
"MissingAbilityDefinition","Beast Mastery","132","Assault III","","","Evasion","4.0","42.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +32 physical DMG and grants +14% evasion chance for 10 seconds.",""
"MissingAbilityDefinition","Beast Mastery","133","Distracting Feint III","","","Evasion","4.0","45.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack reduces target hit chance and evasion chance by 12% for 15 seconds and generates extra enmity.",""
"MissingAbilityDefinition","Beast Mastery","136","Untouchable Instinct","","","Evasion","5.0","50.0","Beast","Combat","MGT","PER","Design Only","Design","The beast gains +20% evasion chance, +30% enmity generation, and 20% movement speed for 15 seconds.",""
"MissingAbilityDefinition","Beast Mastery","138","Force Touch I","","","Force","2.0","5.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +12 force DMG.",""
"MissingAbilityDefinition","Beast Mastery","139","Innervate I","","","Force","2.0","8.0","Beast","Combat","MGT","PER","Design Only","Design","The beast restores 6% of maximum HP to a single ally.",""
"MissingAbilityDefinition","Beast Mastery","140","Warding Howl I","","","Force","3.0","12.0","Beast","Combat","MGT","PER","Design Only","Design","The beast causes nearby allies to take 5% less force damage for 20 seconds.",""
"MissingAbilityDefinition","Beast Mastery","142","Force Touch II","","","Force","3.0","18.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +22 force DMG.",""
"MissingAbilityDefinition","Beast Mastery","143","Psychic Cry I","","","Force","3.0","22.0","Beast","Combat","MGT","PER","Design Only","Design","The beast reduces nearby enemies' hit chance by 5% for 15 seconds.",""
"MissingAbilityDefinition","Beast Mastery","144","Innervate II","","","Force","2.0","25.0","Beast","Combat","MGT","PER","Design Only","Design","The beast restores 10% of maximum HP to a single ally.",""
"MissingAbilityDefinition","Beast Mastery","145","Warding Howl II","","","Force","4.0","28.0","Beast","Combat","MGT","PER","Design Only","Design","The beast causes nearby allies to take 8% less force damage for 20 seconds.",""
"MissingAbilityDefinition","Beast Mastery","147","Force Touch III","","","Force","4.0","35.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +34 force DMG.",""
"MissingAbilityDefinition","Beast Mastery","149","Psychic Cry II","","","Force","3.0","40.0","Beast","Combat","MGT","PER","Design Only","Design","The beast reduces nearby enemies' hit chance by 8% and increases their force damage taken by 5% for 15 seconds.",""
"MissingAbilityDefinition","Beast Mastery","150","Innervate III","","","Force","4.0","42.0","Beast","Combat","MGT","PER","Design Only","Design","The beast restores 14% of maximum HP to a single ally.",""
"MissingAbilityDefinition","Beast Mastery","151","Warding Howl III","","","Force","4.0","45.0","Beast","Combat","MGT","PER","Design Only","Design","The beast causes nearby allies to take 12% less force damage for 20 seconds.",""
"MissingAbilityDefinition","Beast Mastery","153","Psychic Cry III","","","Force","3.0","50.0","Beast","Combat","MGT","PER","Design Only","Design","The beast reduces nearby enemies' hit chance by 12% and increases their force damage taken by 8% for 15 seconds.",""
"MissingAbilityDefinition","Beast Mastery","154","Force-Bonded Beast","","","Force","5.0","50.0","Beast","Combat","MGT","PER","Design Only","Design","The beast and its master take 10% less force damage and restore 1 FP every 3 seconds for 18 seconds.",""
"MissingAbilityDefinition","Beast Mastery","50","Rending Claw I","","","Damage","3.0","12.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +10 physical DMG and attempts to inflict Bleed.",""
"MissingAbilityDefinition","Beast Mastery","51","Pounce I","","","Damage","3.0","15.0","Beast","Combat","MGT","PER","Design Only","Design","The beast leaps to its target, deals +14 physical DMG, and interrupts activation.",""
"MissingAbilityDefinition","Beast Mastery","53","Predator's Mark I","","","Damage","3.0","22.0","Beast","Combat","MGT","PER","Design Only","Design","The beast marks one enemy for 15 seconds. The beast deals +10% damage to marked targets.",""
"MissingAbilityDefinition","Beast Mastery","55","Rending Claw II","","","Damage","4.0","28.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +18 physical DMG and attempts to inflict Bleed.",""
"MissingAbilityDefinition","Beast Mastery","56","Pounce II","","","Damage","3.0","30.0","Beast","Combat","MGT","PER","Design Only","Design","The beast leaps to its target, deals +24 physical DMG, and interrupts activation.",""
"MissingAbilityDefinition","Beast Mastery","57","Expose Prey","","","Damage","4.0","35.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +20 physical DMG and attempts to inflict Exposed for 12 seconds.",""
"MissingAbilityDefinition","Beast Mastery","60","Rending Claw III","","","Damage","4.0","42.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +28 physical DMG and attempts to inflict Bleed.",""
"MissingAbilityDefinition","Beast Mastery","61","Predator Rush","","","Damage","4.0","45.0","Beast","Combat","MGT","PER","Design Only","Design","The beast gains +20% Haste and +8% hit chance for 12 seconds.",""
"MissingAbilityDefinition","Beast Mastery","63","Execute Prey","","","Damage","3.0","50.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +30 physical DMG, increased by 50% against targets below 35% HP.",""
"MissingAbilityDefinition","Beast Mastery","64","Apex Bite","","","Damage","5.0","50.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals heavy physical DMG and gains +25% critical chance.",""
"MissingAbilityDefinition","Beast Mastery","66","Iron Hide I","","","Tank","2.0","5.0","Beast","Combat","MGT","PER","Design Only","Design","The beast takes 5% less physical and force damage for 3 minutes.",""
"MissingAbilityDefinition","Beast Mastery","67","Anger I","","","Tank","2.0","8.0","Beast","Combat","MGT","PER","Design Only","Design","Goads a single target into attacking the beast.",""
"MissingAbilityDefinition","Beast Mastery","69","Guarding Roar I","","","Tank","3.0","15.0","Beast","Combat","MGT","PER","Design Only","Design","Nearby enemies are goaded into attacking the beast and the beast takes 6% less physical damage for 10 seconds.",""
"MissingAbilityDefinition","Beast Mastery","70","Iron Hide II","","","Tank","3.0","18.0","Beast","Combat","MGT","PER","Design Only","Design","The beast takes 8% less physical and force damage for 3 minutes.",""
"MissingAbilityDefinition","Beast Mastery","71","Intercept I","","","Tank","3.0","22.0","Beast","Combat","MGT","PER","Design Only","Design","The beast redirects 35% of the next hit taken by its master within 8 seconds to itself.",""
"MissingAbilityDefinition","Beast Mastery","73","Anger II","","","Tank","4.0","28.0","Beast","Combat","MGT","PER","Design Only","Design","Goads a single target into attacking the beast and grants the beast temporary HP.",""
"MissingAbilityDefinition","Beast Mastery","75","Guarding Roar II","","","Tank","4.0","35.0","Beast","Combat","MGT","PER","Design Only","Design","Nearby enemies are goaded into attacking the beast and the beast takes 10% less physical damage for 10 seconds.",""
"MissingAbilityDefinition","Beast Mastery","76","Iron Hide III","","","Tank","3.0","38.0","Beast","Combat","MGT","PER","Design Only","Design","The beast takes 12% less physical and force damage for 3 minutes.",""
"MissingAbilityDefinition","Beast Mastery","77","Intercept II","","","Tank","3.0","40.0","Beast","Combat","MGT","PER","Design Only","Design","The beast redirects 50% of the next hit taken by its master within 8 seconds to itself.",""
"MissingAbilityDefinition","Beast Mastery","79","Rampart Hide","","","Tank","4.0","45.0","Beast","Combat","MGT","PER","Design Only","Design","The beast gains 20% damage reduction for 10 seconds.",""
"MissingAbilityDefinition","Beast Mastery","80","Guarding Roar III","","","Tank","4.0","48.0","Beast","Combat","MGT","PER","Design Only","Design","Nearby enemies are goaded into attacking the beast and the beast takes 15% less physical damage for 12 seconds.",""
"MissingAbilityDefinition","Beast Mastery","82","Unbreakable Beast","","","Tank","5.0","50.0","Beast","Combat","MGT","PER","Design Only","Design","The beast becomes immune to knockdown, daze, and forced movement for 12 seconds and gains 25% damage reduction.",""
"MissingAbilityDefinition","Beast Mastery","84","Claw I","","","Balanced","2.0","5.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +10 physical DMG and attempts to inflict Bleed.",""
"MissingAbilityDefinition","Beast Mastery","85","Bolster Attack I","","","Balanced","2.0","8.0","Beast","Combat","MGT","PER","Design Only","Design","The beast deals 5% more damage for 3 minutes.",""
"MissingAbilityDefinition","Beast Mastery","86","Guarded Bite I","","","Balanced","3.0","12.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +12 physical DMG and causes the beast to take 5% less physical damage for 10 seconds.",""
"MissingAbilityDefinition","Beast Mastery","88","Claw II","","","Balanced","3.0","18.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +18 physical DMG and attempts to inflict Bleed.",""
"MissingAbilityDefinition","Beast Mastery","89","Hasten I","","","Balanced","3.0","22.0","Beast","Combat","MGT","PER","Design Only","Design","The beast gains +15% Haste for 18 seconds.",""
"MissingAbilityDefinition","Beast Mastery","90","Bolster Attack II","","","Balanced","2.0","25.0","Beast","Combat","MGT","PER","Design Only","Design","The beast deals 8% more damage for 3 minutes.",""
"MissingAbilityDefinition","Beast Mastery","91","Coordinated Strike I","","","Balanced","4.0","28.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +18 physical DMG. If its master damaged the target within 6 seconds, damage increases by 25%.",""
"MissingAbilityDefinition","Beast Mastery","92","Guarded Bite II","","","Balanced","3.0","30.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +22 physical DMG and causes the beast to take 8% less physical damage for 10 seconds.",""
"MissingAbilityDefinition","Beast Mastery","94","Claw III","","","Balanced","3.0","38.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +28 physical DMG and attempts to inflict Bleed.",""
"MissingAbilityDefinition","Beast Mastery","95","Hasten II","","","Balanced","3.0","40.0","Beast","Combat","MGT","PER","Design Only","Design","The beast gains +25% Haste for 18 seconds.",""
"MissingAbilityDefinition","Beast Mastery","96","Bolster Attack III","","","Balanced","4.0","42.0","Beast","Combat","MGT","PER","Design Only","Design","The beast deals 12% more damage for 3 minutes.",""
"MissingAbilityDefinition","Beast Mastery","97","Coordinated Strike II","","","Balanced","4.0","45.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +30 physical DMG. If its master damaged the target within 6 seconds, damage increases by 25%.",""
"MissingAbilityDefinition","Beast Mastery","98","Pack Recovery","","","Balanced","4.0","48.0","Beast","Combat","MGT","PER","Design Only","Design","The beast and its master each restore 4 STM.",""
"MissingAbilityDefinition","Beast Mastery","99","Guarded Bite III","","","Balanced","3.0","50.0","Beast","Combat","MGT","PER","Design Only","Design","The beast's next attack deals +34 physical DMG and causes the beast to take 12% less physical damage for 10 seconds.",""
"MissingAbilityDefinition","Devices","11","Concussion Grenade I","","","Grenadier","3.0","Devices 8","Standard","Combat","PER","None","Design Only","Design","Deals 14 electrical DMG plus PER scaling in a 3m blast and knock down for 2 seconds.",""
"MissingAbilityDefinition","Devices","12","Flash Grenade I","","","Grenadier","3.0","Devices 12","Standard","Combat","None","None","Design Only","Design","Attempts to inflict Flash, reducing physical and Force ability Accuracy by 8% for 20 seconds in a 4m blast. Consumes explosives.",""
"MissingAbilityDefinition","Devices","13","Frag Grenade II","","","Grenadier","3.0","Devices 15","Standard","Combat","PER","None","Design Only","Design","Deals 32 fire DMG plus PER scaling to enemies in a 3m blast and attempts to inflict Bleed.",""
"MissingAbilityDefinition","Devices","14","Ion Grenade I","","","Grenadier","3.0","Devices 18","Standard","Combat","PER","None","Design Only","Design","Deals 20 electrical DMG plus PER scaling in a 3m blast. Deals 50% bonus damage to droids. Consumes explosives.",""
"MissingAbilityDefinition","Devices","16","Adhesive Grenade I","","","Grenadier","4.0","Devices 25","Standard","Combat","None","None","Design Only","Design","Slows enemies in a 4m blast for 6 seconds and immobilizes them for 3 seconds.",""
"MissingAbilityDefinition","Devices","17","Concussion Grenade II","","","Grenadier","3.0","Devices 28","Standard","Combat","PER","None","Design Only","Design","Deals 28 electrical DMG plus PER scaling in a 3m blast and knock down for 2 seconds.",""
"MissingAbilityDefinition","Devices","18","Cluster Grenade","","","Grenadier","4.0","Devices 30","Standard","Combat","PER","None","Design Only","Design","Throws three small grenades at nearby enemies, each dealing 18 fire DMG plus PER scaling in a small blast.",""
"MissingAbilityDefinition","Devices","19","Flash Grenade II","","","Grenadier","3.0","Devices 35","Standard","Combat","None","None","Design Only","Design","Attempts to inflict Flash, reducing physical and Force ability Accuracy by 14% for 20 seconds in a 4m blast. Consumes explosives.",""
"MissingAbilityDefinition","Devices","20","Ion Grenade II","","","Grenadier","3.0","Devices 38","Standard","Combat","PER","None","Design Only","Design","Deals 34 electrical DMG plus PER scaling in a 3m blast. Deals 60% bonus damage to droids and Shock.",""
"MissingAbilityDefinition","Devices","21","Frag Grenade III","","","Grenadier","4.0","Devices 40","Standard","Combat","PER","None","Design Only","Design","Deals 48 fire DMG plus PER scaling to enemies in a 3m blast and attempts to inflict Bleed.",""
"MissingAbilityDefinition","Devices","22","Adhesive Grenade II","","","Grenadier","4.0","Devices 42","Standard","Combat","None","None","Design Only","Design","Slows enemies in a 4m blast for 8 seconds and immobilizes them for 4 seconds.",""
"MissingAbilityDefinition","Devices","24","Concussion Grenade III","","","Grenadier","3.0","Devices 48","Standard","Combat","PER","None","Design Only","Design","Deals 42 electrical DMG plus PER scaling in a 3m blast and knock down for 3 seconds.",""
"MissingAbilityDefinition","Devices","25","Thermal Detonator","","","Grenadier","5.0","Devices 50","Standard","Combat","PER","None","Design Only","Design","Deals heavy fire DMG plus PER scaling in a 5m blast and inflicts Burning. Consumes extra explosives.",""
"MissingAbilityDefinition","Devices","28","Blaster Beacon I","","","Field Engineer","2.0","-","Standard","Combat","PER","None","Design Only","Design","Plants a targeting beacon for 18 seconds. Every 3 seconds, one hostile target within 12m is hit by an automated ranged energy pulse for DMG plus PER scaling.",""
"MissingAbilityDefinition","Devices","30","Incendiary Field I","","","Field Engineer","3.0","Devices 8","Standard","Combat","PER","None","Design Only","Design","Deploys a visible fire field for 12 seconds. Enemies inside take fire DMG plus PER scaling every 3 seconds.",""
"MissingAbilityDefinition","Devices","31","Remote Charge I","","","Field Engineer","3.0","Devices 12","Standard","Combat","PER","None","Design Only","Design","Arms a visible charge at your target location that detonates after 3 seconds for fire DMG plus PER scaling.",""
"MissingAbilityDefinition","Devices","32","Blaster Beacon II","","","Field Engineer","3.0","Devices 15","Standard","Combat","PER","None","Design Only","Design","Plants a targeting beacon for 21 seconds. Every 3 seconds, one hostile target within 12m is hit by an increased automated ranged energy pulse for DMG plus PER scaling.",""
"MissingAbilityDefinition","Devices","33","Maintenance Pulse I","","","Field Engineer","3.0","Devices 18","Standard","Combat","None","None","Design Only","Design","Restores 12% of maximum HP to one friendly droid or mechanical ally. If you have an active Field Engineer beacon or field, its duration is extended by 3 seconds.",""
"MissingAbilityDefinition","Devices","35","Shock Beacon I","","","Field Engineer","4.0","Devices 25","Standard","Combat","PER","None","Design Only","Design","Plants a shock beacon for 15 seconds. Every 3 seconds, one hostile target within 10m is hit by an electrical pulse and suffers Shock.",""
"MissingAbilityDefinition","Devices","36","Incendiary Field II","","","Field Engineer","3.0","Devices 28","Standard","Combat","PER","None","Design Only","Design","Deploys a visible fire field for 15 seconds. Enemies inside take increased fire DMG plus PER scaling every 3 seconds.",""
"MissingAbilityDefinition","Devices","37","Remote Charge II","","","Field Engineer","4.0","Devices 30","Standard","Combat","PER","None","Design Only","Design","Arms a visible charge that detonates after 3 seconds for fire DMG plus PER scaling and knock down.",""
"MissingAbilityDefinition","Devices","38","Blaster Beacon III","","","Field Engineer","3.0","Devices 35","Standard","Combat","PER","None","Design Only","Design","Plants a targeting beacon for 24 seconds. Every 3 seconds, one hostile target within 14m is hit by a high automated ranged energy pulse for DMG plus PER scaling.",""
"MissingAbilityDefinition","Devices","39","Maintenance Pulse II","","","Field Engineer","3.0","Devices 38","Standard","Combat","None","None","Design Only","Design","Restores high HP to one friendly droid or mechanical ally and removes Shock. If you have an active Field Engineer beacon or field, its duration is extended by 5 seconds.",""
"MissingAbilityDefinition","Devices","40","Shock Beacon II","","","Field Engineer","4.0","Devices 40","Standard","Combat","PER","None","Design Only","Design","Plants a shock beacon for 18 seconds. Every 3 seconds, one hostile target within 12m is hit by an increased electrical pulse and suffers Shock.",""
"MissingAbilityDefinition","Devices","41","Incendiary Field III","","","Field Engineer","4.0","Devices 42","Standard","Combat","PER","None","Design Only","Design","Deploys a visible fire field for 18 seconds. Enemies inside take high fire DMG plus PER scaling every 3 seconds.",""
"MissingAbilityDefinition","Devices","43","Remote Charge III","","","Field Engineer","3.0","Devices 48","Standard","Combat","PER","None","Design Only","Design","Arms a visible charge that detonates after 3 seconds for heavy fire DMG and knock down.",""
"MissingAbilityDefinition","Devices","44","Killzone Beacon","","","Field Engineer","5.0","Devices 50","Standard","Combat","PER","None","Design Only","Design","Plants a killzone beacon for 18 seconds. Every 3 seconds, it triggers one energy pulse and one shock pulse against hostile targets within 12m.",""
"MissingAbilityDefinition","Devices","47","Deflector Shield I","","","Field Support","2.0","-","Standard","Combat","None","None","Design Only","Design","Grants one ally 35 temporary HP plus 6% of the target's maximum HP for 45 seconds.",""
"MissingAbilityDefinition","Devices","49","Weapon Jam I","","","Field Support","3.0","Devices 8","Standard","Combat","None","None","Design Only","Design","Reduce one target's physical and Force ability Accuracy by 6% for 18 seconds.",""
"MissingAbilityDefinition","Devices","50","Power Cell I","","","Field Support","3.0","Devices 12","Standard","Combat","None","None","Design Only","Design","Restores 10% of maximum STM to one ally and increases physical and Force ability Accuracy by 4% for 12 seconds.",""
"MissingAbilityDefinition","Devices","51","Deflector Shield II","","","Field Support","3.0","Devices 15","Standard","Combat","None","None","Design Only","Design","Grants one ally 65 temporary HP plus 9% of the target's maximum HP for 45 seconds.",""
"MissingAbilityDefinition","Devices","52","Hardlight Screen I","","","Field Support","3.0","Devices 18","Standard","Combat","PER","None","Design Only","Design","Places a 4m screen for 15 seconds. Allies inside take 10% less ranged physical damage.",""
"MissingAbilityDefinition","Devices","54","Dampening Field I","","","Field Support","4.0","Devices 25","Standard","Combat","PER","None","Design Only","Design","One ally takes 10% less physical and force damage for 10 seconds.",""
"MissingAbilityDefinition","Devices","55","Weapon Jam II","","","Field Support","3.0","Devices 28","Standard","Combat","None","None","Design Only","Design","Reduce one target's physical and Force ability Accuracy by 10% for 18 seconds.",""
"MissingAbilityDefinition","Devices","56","Power Cell II","","","Field Support","4.0","Devices 30","Standard","Combat","None","None","Design Only","Design","Restores 18% of maximum STM to one ally and increases physical and Force ability Accuracy by 6% for 12 seconds.",""
"MissingAbilityDefinition","Devices","57","Deflector Shield III","","","Field Support","3.0","Devices 35","Standard","Combat","None","None","Design Only","Design","Grants one ally 100 temporary HP plus 12% of the target's maximum HP for 45 seconds.",""
"MissingAbilityDefinition","Devices","58","Hardlight Screen II","","","Field Support","3.0","Devices 38","Standard","Combat","PER","None","Design Only","Design","Places a 4m screen for 18 seconds. Allies inside take 15% less ranged physical damage.",""
"MissingAbilityDefinition","Devices","59","Dampening Field II","","","Field Support","4.0","Devices 40","Standard","Combat","PER","None","Design Only","Design","One ally takes 15% less physical and force damage for 10 seconds.",""
"MissingAbilityDefinition","Devices","60","Group Deflector","","","Field Support","4.0","Devices 42","Standard","Combat","None","None","Design Only","Design","Nearby allies gain 70 temporary HP plus 8% of each target's maximum HP for 30 seconds.",""
"MissingAbilityDefinition","Devices","62","Power Cell III","","","Field Support","3.0","Devices 48","Standard","Combat","None","None","Design Only","Design","Restores 18% of maximum STM to nearby allies and increases physical and Force ability Accuracy by 6% for 12 seconds.",""
"MissingAbilityDefinition","Devices","63","Emergency Bunker","","","Field Support","5.0","Devices 50","Standard","Combat","PER","None","Design Only","Design","Deploys a shield bunker for 15 seconds. Allies inside gain 120 temporary HP plus 10% of each target's maximum HP and take 20% less ranged physical damage.",""
"MissingAbilityDefinition","Devices","66","Flamethrower I","","","Assault Gadgets","2.0","-","Standard","Combat","PER","None","Design Only","Design","Deals fire DMG plus PER scaling to hostile targets in a cone.",""
"MissingAbilityDefinition","Devices","67","Wrist Rocket I","","","Assault Gadgets","2.0","Devices 5","Standard","Combat","PER","None","Design Only","Design","Deals fire DMG plus PER scaling to one target.",""
"MissingAbilityDefinition","Devices","68","Sonic Burst I","","","Assault Gadgets","3.0","Devices 8","Standard","Combat","PER","None","Design Only","Design","Deals sonic DMG to nearby hostile targets and interrupt activation.",""
"MissingAbilityDefinition","Devices","70","Flamethrower II","","","Assault Gadgets","3.0","Devices 15","Standard","Combat","PER","None","Design Only","Design","Deals increased fire DMG plus PER scaling to hostile targets in a cone and attempts to inflict Burning.",""
"MissingAbilityDefinition","Devices","71","Rail Dart I","","","Assault Gadgets","3.0","Devices 18","Standard","Combat","PER","None","Design Only","Design","Fires a dart that deals physical DMG plus PER scaling and attempts to inflict Bleed.",""
"MissingAbilityDefinition","Devices","73","Wrist Rocket II","","","Assault Gadgets","4.0","Devices 25","Standard","Combat","PER","None","Design Only","Design","Deals increased fire DMG plus PER scaling to one target and knock down for 2 seconds.",""
"MissingAbilityDefinition","Devices","74","Sonic Burst II","","","Assault Gadgets","3.0","Devices 28","Standard","Combat","PER","None","Design Only","Design","Deals sonic DMG to nearby hostile targets and interrupt activation and reduce Accuracy.",""
"MissingAbilityDefinition","Devices","75","Cryo Sprayer I","","","Assault Gadgets","4.0","Devices 30","Standard","Combat","PER","None","Design Only","Design","Deals ice DMG plus PER scaling to hostile targets in a cone and slows movement for 5 seconds.",""
"MissingAbilityDefinition","Devices","76","Flamethrower III","","","Assault Gadgets","3.0","Devices 35","Standard","Combat","PER","None","Design Only","Design","Deals high fire DMG plus PER scaling to hostile targets in a cone and attempts to inflict Burning.",""
"MissingAbilityDefinition","Devices","77","Rail Dart II","","","Assault Gadgets","3.0","Devices 38","Standard","Combat","PER","None","Design Only","Design","Fires a dart that deals high physical DMG plus PER scaling and attempts to inflict Bleed.",""
"MissingAbilityDefinition","Devices","78","Wrist Rocket III","","","Assault Gadgets","4.0","Devices 40","Standard","Combat","PER","None","Design Only","Design","Deals high fire DMG plus PER scaling to one target and knock down for 3 seconds.",""
"MissingAbilityDefinition","Devices","79","Sonic Burst III","","","Assault Gadgets","4.0","Devices 42","Standard","Combat","PER","None","Design Only","Design","Deals sonic DMG to nearby hostile targets and interrupt activation and reduce Accuracy.",""
"MissingAbilityDefinition","Devices","81","Cryo Sprayer II","","","Assault Gadgets","3.0","Devices 48","Standard","Combat","PER","None","Design Only","Design","Deals high ice DMG plus PER scaling to hostile targets in a cone and immobilize for 2 seconds.",""
"MissingAbilityDefinition","Devices","82","Overload Barrage","","","Assault Gadgets","5.0","Devices 50","Standard","Combat","PER","None","Design Only","Design","Unleashes a flamethrower burst, wrist rocket, and sonic burst against hostile targets near your primary target.",""
"MissingAbilityDefinition","Devices","9","Frag Grenade I","","","Grenadier","2.0","-","Standard","Combat","PER","None","Design Only","Design","Deals 18 fire DMG plus PER scaling to enemies in a 3m blast. Consumes explosives.",""
