"Type","Key","DisplayName","SemanticCategory","Rank","IconResRef","SourcePath","Alignment"
"Ability","BrutalBashTechnique","BrutalBashTechnique","Harmful","","ife_brutal_bash","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CalmingStance1","CalmingStance1","Self","1","ife_calmstance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CapacitorSurgeTechnique","CapacitorSurgeTechnique","Harmful","","ife_cap_surge","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Carve1","Carve1","Harmful","1","ife_carve1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ChargeOrder1","ChargeOrder1","Beneficial","1","ife_chargeorder1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ChargeOrder2","ChargeOrder2","Beneficial","2","ife_chargeorder2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CheapShot1","CheapShot1","Harmful","1","ife_cheapsht1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CheapShot2","CheapShot2","Harmful","2","ife_cheapsht2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ChitinGuardTechnique","Chitin Guard","Passive","","ife_mchitinguard","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CircleSlash1","CircleSlash1","Harmful","1","ife_circleslash1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CircleSlash2","CircleSlash2","Harmful","2","ife_circleslash2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CircleSlash3","CircleSlash3","Harmful","3","ife_circleslash3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Claw1","Claw1","Harmful","1","ife_claw1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Claw2","Claw2","Harmful","2","ife_claw2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Claw3","Claw3","Harmful","3","ife_claw3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CleanseOrder1","CleanseOrder1","Beneficial","1","ife_clnsord1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CleanseOrder2","CleanseOrder2","Beneficial","2","ife_clnsord2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ClusterGrenade1","ClusterGrenade1","Harmful","1","ife_clustgrnd1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CobraStance1","CobraStance1","Self","1","ife_cobrastance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CombatAnalyzerTrait","CombatAnalyzerTrait","Passive","","ife_cmb_anlyzr","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ConcussionGrenade1","ConcussionGrenade1","Harmful","1","ife_concgrnd1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ConcussionGrenade2","ConcussionGrenade2","Harmful","2","ife_concgrnd2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ConcussiveChallenge","ConcussiveChallenge","Harmful","","ife_concchal","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ConcussiveChallengeTechnique","Concussive Challenge","Control","","ife_mconcchal","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ConcussiveToss1","ConcussiveToss1","Harmful","1","ife_concvtoss1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ConcussiveToss2","ConcussiveToss2","Harmful","2","ife_concvtoss2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ConduitStance1","ConduitStance1","Self","1","ife_condstance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CoordinatedFocus1","CoordinatedFocus1","Beneficial","1","ife_coordfoc1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CoordinatedFocus2","CoordinatedFocus2","Beneficial","2","ife_coordfoc2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CoordinatedFocus3","CoordinatedFocus3","Beneficial","3","ife_coordfoc3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CoordinatedStrike1","CoordinatedStrike1","Harmful","1","ife_coordstrk1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CoordinatedStrike2","CoordinatedStrike2","Harmful","2","ife_coordstrk2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CoveringStrike1","CoveringStrike1","Harmful","1","ife_covstrike1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CoveringStrike2","CoveringStrike2","Harmful","2","ife_covstrk2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CoveringStrike3","CoveringStrike3","Harmful","3","ife_covstrk3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CreepingTerror1","CreepingTerror1","Control","1","ife_creepterr1","SWLOR_Haks\sw_2da\feat.2da","Dark"
"Ability","CreepingTerror2","CreepingTerror2","Control","2","ife_creepterr2","SWLOR_Haks\sw_2da\feat.2da","Dark"
"Ability","CreepingTerror3","CreepingTerror3","Control","3","ife_creepterr3","SWLOR_Haks\sw_2da\feat.2da","Dark"
"Ability","CripplingDefense1","CripplingDefense1","Harmful","1","ife_cripdefense1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CripplingShot1","CripplingShot1","Harmful","1","ife_cripsht1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CripplingShot2","CripplingShot2","Harmful","2","ife_cripsht2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CripplingShot3","CripplingShot3","Harmful","3","ife_cripsht3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CripplingSlice1","CripplingSlice1","Harmful","1","ife_crpslice1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CripplingSlice2","CripplingSlice2","Harmful","2","ife_crpslice2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CripplingSlice3","CripplingSlice3","Harmful","3","ife_crpslice3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CripplingTalonsTechnique","Crippling Talons","Passive","","ife_mcriptalons","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CrossCut1","CrossCut1","Harmful","1","ife_crosscut1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CrossCut2","CrossCut2","Harmful","2","ife_crosscut2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CrossCut3","CrossCut3","Harmful","3","ife_crosscut3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CrossCut4","CrossCut4","Harmful","4","ife_crosscut4","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CrossfireDrill","CrossfireDrill","Control","","ife_crossdrill","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CrossfireDrillTechnique","Crossfire Drill","Harmful","","ife_mcrossdrill","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CrusherStance1","CrusherStance1","Self","1","ife_crushstance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CrushingSlam1","CrushingSlam1","Harmful","1","ife_crushslam1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CrushingSlam2","CrushingSlam2","Harmful","2","ife_crushslam2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CrushingSlam3","CrushingSlam3","Harmful","3","ife_crushslam3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CryoBileTechnique","CryoBileTechnique","Harmful","","ife_cryo_bile","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CryoSprayer1","CryoSprayer1","Control","1","ife_cryosprayer1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CurrentOverload1","CurrentOverload1","Harmful","1","ife_currovrld1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","CycloneStance1","CycloneStance1","Self","1","ife_cyclstance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DarkShockTechnique","DarkShockTechnique","Harmful","","ife_dark_shock","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DeadeyeStance1","DeadeyeStance1","Self","1","ife_deadeyestnc1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DeadlyPrecision1","DeadlyPrecision1","Self","1","ife_deadlyprec1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DeadMansHand1","DeadMansHand1","Harmful","1","ife_deadmnshand1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DebilitatingStance1","DebilitatingStance1","Self","1","ife_debilstance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DecisiveCommand1","DecisiveCommand1","Beneficial","1","ife_deciscmd1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DefensiveStance1","DefensiveStance1","Self","1","ife_defstance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DefensiveStance2","DefensiveStance2","Self","2","ife_defstance2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DeflectorShield1","DeflectorShield1","Beneficial","1","ife_deflshld1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DeflectorShield2","DeflectorShield2","Beneficial","2","ife_deflshld2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DeflectorShield3","DeflectorShield3","Beneficial","3","ife_deflshld3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisablingStrike1","DisablingStrike1","Harmful","1","ife_disblstrk1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisablingStrike2","DisablingStrike2","Harmful","2","ife_disblstrk2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisablingStrike3","DisablingStrike3","Harmful","3","ife_disblstrk3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisablingStrike4","DisablingStrike4","Harmful","4","ife_disblstrk4","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisarmingShot1","DisarmingShot1","Harmful","1","ife_disarmsht1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisarmingShot2","DisarmingShot2","Harmful","2","ife_disarmsht2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisarmingShot3","DisarmingShot3","Harmful","3","ife_disarmsht3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisarmingShot4","DisarmingShot4","Harmful","4","ife_disarmsht4","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisorientingScreechTechnique","DisorientingScreechTechnique","Control","","ife_dis_screech","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisruptionField1","DisruptionField1","Control","1","ife_disrpfield1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisruptionField2","DisruptionField2","Control","2","ife_disrpfld2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DisruptionPulse1","DisruptionPulse1","Harmful","1","ife_disrppulse1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DistractingFeint1","DistractingFeint1","Harmful","1","ife_distrfnt1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DistractingFeint2","DistractingFeint2","Harmful","2","ife_distrfnt2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DistractingFeint3","DistractingFeint3","Harmful","3","ife_distrfnt3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DoubleShot1","DoubleShot1","Harmful","1","ife_doubleshot1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DoubleShot2","DoubleShot2","Harmful","2","ife_doubleshot2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DoubleShot3","DoubleShot3","Harmful","3","ife_doubleshot3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DoubleStrike1","DoubleStrike1","Harmful","1","ife_dblstrike1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DoubleStrike2","DoubleStrike2","Harmful","2","ife_dblstrike2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DoubleStrike3","DoubleStrike3","Harmful","3","ife_dblstrike3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DoubleStrike4","DoubleStrike4","Harmful","4","ife_dblstrike4","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DreadWaveTechnique","DreadWaveTechnique","Control","","ife_dread_wave","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DuelistsChallenge1","DuelistsChallenge1","Self","1","ife_dlstschll1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","DuelistStance1","DuelistStance1","Self","1","ife_duelstance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Earthshatter1","Earthshatter1","Harmful","1","ife_earthshtr1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Earthshatter2","Earthshatter2","Harmful","2","ife_earthshtr2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EclipseOfResolve1","EclipseOfResolve1","Harmful","1","ife_eclresolve1","SWLOR_Haks\sw_2da\feat.2da","Dark"
"Ability","EmergencyBunker1","EmergencyBunker1","Beneficial","1","ife_emrgbnkr1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EmergencyCocktail1","EmergencyCocktail1","Beneficial","1","ife_emrgckt1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EmergencyTriage1","EmergencyTriage1","Beneficial","1","ife_emrgtriage1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EnfeeblingStrike1","EnfeeblingStrike1","Harmful","1","ife_enfebstrk1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EnfeeblingStrike2","EnfeeblingStrike2","Harmful","2","ife_enfebstrk2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EnfeeblingStrike3","EnfeeblingStrike3","Harmful","3","ife_enfebstrk3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EnfeeblingStrike4","EnfeeblingStrike4","Harmful","4","ife_enfebstrk4","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Epicenter1","Epicenter1","Control","1","ife_epicenter","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EscapeArtist1","EscapeArtist1","Harmful","1","ife_escartist1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EssenceCleave1","EssenceCleave1","Harmful","1","ife_essclv1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EssenceCleave2","EssenceCleave2","Harmful","2","ife_essclv2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EssenceCleave3","EssenceCleave3","Harmful","3","ife_essclv3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EssenceCleave4","EssenceCleave4","Harmful","4","ife_essclv4","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EssenceScar","EssenceScar","Control","","ife_essscar","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EssenceScarTechnique","Essence Scar","Passive","","ife_messscar","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EvasiveChallenge1","EvasiveChallenge1","Harmful","1","ife_evasivechal1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EvasiveChallenge2","EvasiveChallenge2","Harmful","2","ife_evasivechal2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EvasiveManeuver1","EvasiveManeuver1","Self","1","ife_evasivemnvr1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EvasiveManeuver2","EvasiveManeuver2","Self","2","ife_evasivemnvr2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","EvasiveManeuver3","EvasiveManeuver3","Self","3","ife_evasivemnvr3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ExecutePrey1","ExecutePrey1","Harmful","1","ife_executeprey1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ExplosiveToss1","ExplosiveToss1","Harmful","1","ife_explsvtss1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ExplosiveToss2","ExplosiveToss2","Harmful","2","ife_xplsvtss2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ExplosiveToss3","ExplosiveToss3","Harmful","3","ife_xplsvtss3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ExplosiveToss4","ExplosiveToss4","Harmful","4","ife_xplsvtss4","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ExposedNerve1","ExposedNerve1","Harmful","1","ife_expnrv1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ExposedNerve2","ExposedNerve2","Harmful","2","ife_expnrv2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ExposedNerve3","ExposedNerve3","Harmful","3","ife_expnrv3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","ExposePrey1","ExposePrey1","Harmful","1","ife_exposeprey1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FanTheHammer1","FanTheHammer1","Harmful","1","ife_fanhammer1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FanTheHammer2","FanTheHammer2","Harmful","2","ife_fanhammer2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FeintingCut1","FeintingCut1","Harmful","1","ife_feintingcut1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FeintingCut2","FeintingCut2","Harmful","2","ife_feintingcut2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FeintingCut3","FeintingCut3","Harmful","3","ife_feintingcut3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FerocityStance1","FerocityStance1","Self","1","ife_ferocstance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FieldRecovery1","FieldRecovery1","Beneficial","1","ife_fldrecov1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FieldRecovery2","FieldRecovery2","Beneficial","2","ife_fldrecov2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinalEclipse","FinalEclipse","Control","","ife_eclipse","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinalEclipseTechnique","Final Eclipse","Harmful","","ife_mfineclipse","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinalForm1","FinalForm1","Self","1","ife_finalfrm1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinalLine","FinalLine","Harmful","","ife_finline","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinalLineTechnique","Final Line","Harmful","","ife_mfinline","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinalMandate","FinalMandate","Control","","ife_finmand","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinalMandateTechnique","Final Mandate","Beneficial","","ife_mfinmand","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinalSuppression","FinalSuppression","Control","","ife_finsup","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinalSuppressionTechnique","Final Suppression","Control","","ife_mfinsup","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinishingDrive","FinishingDrive","Harmful","","ife_findrive","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinishingDriveTechnique","Finishing Drive","Self","","ife_mfindrive","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FinishingToss1","FinishingToss1","Harmful","1","ife_finishtoss1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FireburstToss1","FireburstToss1","Harmful","1","ife_firebrtoss1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Flamethrower1","Flamethrower1","Harmful","1","ife_flame1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Flamethrower2","Flamethrower2","Harmful","2","ife_flame2","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Flamethrower3","Flamethrower3","Harmful","3","ife_flame3","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FlankingBarrage1","FlankingBarrage1","Harmful","1","ife_flnkngbrr1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FlankingStance1","FlankingStance1","Self","1","ife_flankstance1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","Flash1","Flash1","Control","1","ife_flsh1","SWLOR_Haks\sw_2da\feat.2da",""
"Ability","FlashGrenade1","FlashGrenade1","Harmful","1","ife_flshgrnd1","SWLOR_Haks\sw_2da\feat.2da",""
