"Verdict","Scope","Tab","BibleRow","Style","BiblePrice","CodePrice","PerkName","BibleSkillRequirements","CodeRequirements","BibleCharacterType","BibleType","BiblePrimaryStat","BibleSecondaryStat","BibleScalingSource","BibleCrossSkill","BibleFP","BibleSTM","BibleCastingTime","BibleCooldownTime","BibleDevStatus","BibleAdditionalRequirements","BibleNotes","BibleDescription","CodeDescription","CodePerk","GrantedFeats","AbilityEvidence","FeatDescriptionEvidence","SpellDescriptionEvidence","Findings"
"PASS","Scoped implemented","Vibroblade","11","Frenzy","2.0","2","Rundown I","Vibroblade 8","Vibroblade 8","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Each consecutive melee attack against the same target grants Rundown, giving +1 DMG to auto-attack against that target, up to five stacks.","Each consecutive melee attack against the same target grants Rundown, giving +1 DMG to auto-attack against that target, up to five stacks.","Rundown/VibrobladeOffense/Rundown rank 1","RundownTrait","RundownTrait: no active ability definition","RundownTrait: PASS exact Bible text TLK 5502","-",""
"PASS","Scoped implemented","Vibroblade","12","Frenzy","2.0","2","Savage Cleave I","Vibroblade 10","Vibroblade 10","All","Combat","MGT","PER","Combat Formula","Yes","-","4.0","Instant","24 seconds","Implemented","","","Deal weapon DMG + 10 in a 5m radius around you.","Deal weapon DMG + 10 in a 5m radius around you.","SavageCleave/VibrobladeOffense/Savage Cleave rank 1","SavageCleave1","SavageCleave1: SavageCleaveAbilityDefinition.cs name='Savage Cleave I' level=1 skill=Vibroblade activation=Casted FP=- STM=4 cast=0 cooldown=24","SavageCleave1: PASS exact Bible text TLK 1640","SavageCleave1: PASS exact Bible text TLK 1640",""
"PASS","Scoped implemented","Vibroblade","13","Frenzy","2.0","2","Riot Blade II","Vibroblade 12","Vibroblade 12","All","Combat","MGT","PER","Combat Formula","Yes","-","4.0","Queued","18 seconds","Implemented","","","On your next hit, deal weapon DMG + 15.","On your next hit, deal weapon DMG + 15.","RiotBlade/VibrobladeOffense/Riot Blade rank 2","RiotBlade2","RiotBlade2: RiotBladeAbilityDefinition.cs name='Riot Blade II' level=2 skill=Vibroblade activation=Weapon FP=- STM=4 cast=0 cooldown=18","RiotBlade2: PASS exact Bible text TLK 5289","RiotBlade2: PASS exact Bible text TLK 5289",""
"PASS","Scoped implemented","Vibroblade","14","Frenzy","4.0","4","Savage Reflexes","Vibroblade 15","Vibroblade 15","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Auto-attacks have a 15% chance to deal +10 DMG.","Auto-attacks have a 15% chance to deal +10 DMG.","SavageReflexes/VibrobladeOffense/Savage Reflexes rank 1","SavageReflexesTrait","SavageReflexesTrait: no active ability definition","SavageReflexesTrait: PASS exact Bible text TLK 4210","-",""
"PASS","Scoped implemented","Vibroblade","15","Frenzy","3.0","3","Rending Strike I","Vibroblade 18","Vibroblade 18","All","Combat","MGT","PER","Combat Formula","Yes","-","8.0","Instant","45 seconds","Implemented","","","Deals weapon DMG + 18. Inflicts Exposed which reduces Defense by 15% for 30 seconds.","Deals weapon DMG + 18. Inflicts Exposed which reduces Defense by 15% for 30 seconds.","RendingStrike/VibrobladeOffense/Rending Strike rank 1","RendingStrike1","RendingStrike1: RendingStrikeAbilityDefinition.cs name='Rending Strike I' level=1 skill=Invalid activation=Casted FP=- STM=8 cast=0 cooldown=45","RendingStrike1: PASS exact Bible text TLK 5282","RendingStrike1: PASS exact Bible text TLK 5282",""
"PASS","Scoped implemented","Vibroblade","16","Frenzy","4.0","4","Berserker Stance","Vibroblade 20","Vibroblade 20","All","Stance","None","None","None","Yes","-","-","2 seconds","30 seconds","Implemented","","","While active, grants +25% Attack, +15% Haste, -20% Defense, and -20% Force Defense.","While active, grants +25% Attack, +15% Haste, -20% Defense, and -20% Force Defense.","BerserkerStance/VibrobladeOffense/Berserker Stance rank 1","BerserkerStance1","BerserkerStance1: BerserkerStanceAbilityDefinition.cs name='Berserker Stance' level=1 skill=Invalid activation=Casted FP=- STM=- cast=2 cooldown=30","BerserkerStance1: PASS exact Bible text TLK 81800","BerserkerStance1: PASS exact Bible text TLK 81800",""
"PASS","Scoped implemented","Vibroblade","17","Frenzy","4.0","4","Rundown II","Vibroblade 22","Vibroblade 22","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Each consecutive melee attack against the same target grants Rundown, giving +2 DMG to auto-attack against that target, up to five stacks.","Each consecutive melee attack against the same target grants Rundown, giving +2 DMG to auto-attack against that target, up to five stacks.","Rundown/VibrobladeOffense/Rundown rank 2","","-","-","-",""
"PASS","Scoped implemented","Vibroblade","18","Frenzy","4.0","4","Follow-Through","Vibroblade 25","Vibroblade 25","All","Trait","MGT","PER","Combat Formula","Yes","-","-","-","-","Implemented","","","Every third melee auto-attack deals an additional +10 Damage.","Every third melee auto-attack deals an additional +10 Damage.","FollowThrough/VibrobladeOffense/Follow-Through rank 1","FollowThroughTrait","FollowThroughTrait: no active ability definition","FollowThroughTrait: PASS exact Bible text TLK 5504","-",""
"PASS","Scoped implemented","Vibroblade","19","Frenzy","3.0","3","Riot Blade III","Vibroblade 28","Vibroblade 28","All","Combat","MGT","PER","Combat Formula","Yes","-","5.0","Queued","18 seconds","Implemented","","","On your next hit, deal weapon DMG + 20.","On your next hit, deal weapon DMG + 20.","RiotBlade/VibrobladeOffense/Riot Blade rank 3","RiotBlade3","RiotBlade3: RiotBladeAbilityDefinition.cs name='Riot Blade III' level=3 skill=Vibroblade activation=Weapon FP=- STM=5 cast=0 cooldown=18","RiotBlade3: PASS exact Bible text TLK 1626","RiotBlade3: PASS exact Bible text TLK 1626",""
"PASS","Scoped implemented","Vibroblade","20","Frenzy","4.0","4","Savage Cleave II","Vibroblade 30","Vibroblade 30","All","Combat","MGT","PER","Combat Formula","Yes","-","6.0","Instant","24 seconds","Implemented","","","Deal weapon DMG + 15 in a 5m radius around you and restore 2 STM per secondary target hit.","Deal weapon DMG + 15 in a 5m radius around you and restore 2 STM per secondary target hit.","SavageCleave/VibrobladeOffense/Savage Cleave rank 2","SavageCleave2","SavageCleave2: SavageCleaveAbilityDefinition.cs name='Savage Cleave II' level=2 skill=Vibroblade activation=Casted FP=- STM=6 cast=0 cooldown=24","SavageCleave2: PASS exact Bible text TLK 4223","SavageCleave2: PASS exact Bible text TLK 4223",""
"PASS","Scoped implemented","Vibroblade","21","Frenzy","3.0","3","Rending Strike II","Vibroblade 32","Vibroblade 32","All","Combat","MGT","PER","Combat Formula","Yes","-","10.0","Instant","45 seconds","Implemented","","","Deals weapon DMG + 32. Inflicts Exposed which reduces Defense by 15% for 30 seconds.","Deals weapon DMG + 32. Inflicts Exposed which reduces Defense by 15% for 30 seconds.","RendingStrike/VibrobladeOffense/Rending Strike rank 2","RendingStrike2","RendingStrike2: RendingStrikeAbilityDefinition.cs name='Rending Strike II' level=2 skill=Invalid activation=Casted FP=- STM=10 cast=0 cooldown=45","RendingStrike2: PASS exact Bible text TLK 5283","RendingStrike2: PASS exact Bible text TLK 5283",""
"PASS","Scoped implemented","Vibroblade","22","Frenzy","2.0","2","Executioner II","Vibroblade 35","Vibroblade 35","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Deal +10% damage to targets below 25% HP.","Deal +10% damage to targets below 25% HP.","Executioner/VibrobladeOffense/Executioner rank 2","","-","-","-",""
"PASS","Scoped implemented","Vibroblade","23","Frenzy","4.0","4","Savage Cleave III","Vibroblade 38","Vibroblade 38","All","Combat","MGT","PER","Combat Formula","Yes","-","8.0","Instant","24 seconds","Implemented","","","Deal weapon DMG + 20 in a 5m radius around you and restore 2 STM per secondary target hit.","Deal weapon DMG + 20 in a 5m radius around you and restore 2 STM per secondary target hit.","SavageCleave/VibrobladeOffense/Savage Cleave rank 3","SavageCleave3","SavageCleave3: SavageCleaveAbilityDefinition.cs name='Savage Cleave III' level=3 skill=Vibroblade activation=Casted FP=- STM=8 cast=0 cooldown=24","SavageCleave3: PASS exact Bible text TLK 5506","SavageCleave3: PASS exact Bible text TLK 5506",""
"PASS","Scoped implemented","Vibroblade","24","Frenzy","5.0","5","Riot Blade IV","Vibroblade 40","Vibroblade 40","All","Combat","MGT","PER","Combat Formula","Yes","-","6.0","Queued","18 seconds","Implemented","","","On your next hit, deal weapon DMG + 25.","On your next hit, deal weapon DMG + 25.","RiotBlade/VibrobladeOffense/Riot Blade rank 4","RiotBlade4","RiotBlade4: RiotBladeAbilityDefinition.cs name='Riot Blade IV' level=4 skill=Vibroblade activation=Weapon FP=- STM=6 cast=0 cooldown=18","RiotBlade4: PASS exact Bible text TLK 5508","RiotBlade4: PASS exact Bible text TLK 5508",""
"PASS","Scoped implemented","Vibroblade","25","Frenzy","4.0","4","Rundown III","Vibroblade 45","Vibroblade 45","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Each consecutive melee attack against the same target grants Rundown, giving +3 DMG to auto-attack against that target, up to five stacks.","Each consecutive melee attack against the same target grants Rundown, giving +3 DMG to auto-attack against that target, up to five stacks.","Rundown/VibrobladeOffense/Rundown rank 3","","-","-","-",""
"PASS","Scoped implemented","Vibroblade","26","Frenzy","6.0","6","Blood Frenzy","Vibroblade 50","Vibroblade 50; Quest blood_frenzy_mastery","All","Capstone","None","None","None","Yes","-","-","-","-","Implemented","Blood Frenzy final quest","","Defeating an enemy restores 10 STM and grants +8% Haste for 30 seconds.","Defeating an enemy restores 10 STM and grants +8% Haste for 30 seconds.","BloodFrenzy/VibrobladeOffense/Blood Frenzy rank 1","BloodFrenzyTrait","BloodFrenzyTrait: no active ability definition","BloodFrenzyTrait: PASS exact Bible text TLK 4202","-",""
"PASS","Scoped implemented","Vibroblade","29","Bulwark","2.0","2","Shield Bash I","Vibroblade 2","Vibroblade 2","All","Combat","MGT","PER","Combat Formula","Yes","-","3.0","Queued","20 seconds","Implemented","","","On your next hit, deal weapon DMG and an additional instance of damage equal to 4% of your Physical Defense.","On your next hit, deal weapon DMG and an additional instance of damage equal to 4% of your Physical Defense.","ShieldBash/VibrobladeDefense/Shield Bash rank 1","ShieldBash1","ShieldBash1: ShieldBashAbilityDefinition.cs name='Shield Bash I' level=1 skill=Vibroblade activation=Weapon FP=- STM=3 cast=0 cooldown=20","ShieldBash1: PASS exact Bible text TLK 5286","ShieldBash1: PASS exact Bible text TLK 5286",""
"PASS","Scoped implemented","Vibroblade","30","Bulwark","2.0","2","Shield Training","Vibroblade 5","Vibroblade 5","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","When you deflect an attack with a shield, reduce the active cooldown of Shield Bash by 2 seconds.","When you deflect an attack with a shield, reduce the active cooldown of Shield Bash by 2 seconds.","ShieldTraining/VibrobladeDefense/Shield Training rank 1","ShieldTrainingTrait","ShieldTrainingTrait: no active ability definition","ShieldTrainingTrait: PASS exact Bible text TLK 5239","-",""
"PASS","Scoped implemented","Vibroblade","31","Bulwark","2.0","2","Bulwark I","Vibroblade 8","Vibroblade 8","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Grants +15 Shield Deflection and +8% Physical Defense while a shield is equipped.","Grants +15 Shield Deflection and +8% Physical Defense while a shield is equipped.","Bulwark/VibrobladeDefense/Bulwark rank 1","BulwarkTrait","BulwarkTrait: no active ability definition","BulwarkTrait: PASS exact Bible text TLK 192542","-",""
"PASS","Scoped implemented","Vibroblade","32","Bulwark","2.0","2","Covering Strike I","Vibroblade 10","Vibroblade 10","All","Combat","MGT","PER","Combat Formula","Yes","-","6.0","Instant","30 seconds","Implemented","","","Strike all enemies within 5m for weapon DMG + 15. Enemies hit generate +25% Enmity toward you for 30 seconds.","Strike all enemies within 5m for weapon DMG + 15. Enemies hit generate +25% Enmity toward you for 30 seconds.","CoveringStrike/VibrobladeDefense/Covering Strike rank 1","CoveringStrike1","CoveringStrike1: CoveringStrikeAbilityDefinition.cs name='Covering Strike I' level=1 skill=Vibroblade activation=Casted FP=- STM=6 cast=0 cooldown=30","CoveringStrike1: PASS exact Bible text TLK 192543","CoveringStrike1: PASS exact Bible text TLK 192543",""
"PASS","Scoped implemented","Vibroblade","33","Bulwark","2.0","2","Shield Bash II","Vibroblade 12","Vibroblade 12","All","Combat","MGT","PER","Combat Formula","Yes","-","5.0","Queued","20 seconds","Implemented","","","On your next hit, deal weapon DMG and an additional instance of damage equal to 6% of your Physical Defense.","On your next hit, deal weapon DMG and an additional instance of damage equal to 6% of your Physical Defense.","ShieldBash/VibrobladeDefense/Shield Bash rank 2","ShieldBash2","ShieldBash2: ShieldBashAbilityDefinition.cs name='Shield Bash II' level=2 skill=Vibroblade activation=Weapon FP=- STM=5 cast=0 cooldown=20","ShieldBash2: PASS exact Bible text TLK 5287","ShieldBash2: PASS exact Bible text TLK 5287",""
"PASS","Scoped implemented","Vibroblade","34","Bulwark","4.0","4","Fortification","Vibroblade 15","Vibroblade 15","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Grants +15 Mind Resistance rating, +15 Trauma Resistance rating, and +15 Mobility Resistance rating.","Grants +15 Mind Resistance rating, +15 Trauma Resistance rating, and +15 Mobility Resistance rating.","Fortification/VibrobladeDefense/Fortification rank 1","FortificationTrait","FortificationTrait: no active ability definition","FortificationTrait: PASS exact Bible text TLK 4206","-",""
"PASS","Scoped implemented","Vibroblade","35","Bulwark","3.0","3","Shield Wall I","Vibroblade 18","Vibroblade 18","All","Combat","MGT","PER","Combat Formula","Yes","-","10.0","30 seconds","45 seconds","Implemented","","","Channel for up to 30 seconds. While channeling you and any allies within 5m gain 20% damage reduction.","Channel for up to 30 seconds. While channeling you and any allies within 5m gain 20% damage reduction.","ShieldWall/VibrobladeDefense/Shield Wall rank 1","ShieldWall1","ShieldWall1: ShieldWallAbilityDefinition.cs name='Shield Wall I' level=1 skill=Invalid activation=Casted FP=- STM=10 cast=30 cooldown=45","ShieldWall1: PASS exact Bible text TLK 1664","ShieldWall1: PASS exact Bible text TLK 1664",""
"PASS","Scoped implemented","Vibroblade","36","Bulwark","4.0","4","Defensive Stance","Vibroblade 20","Vibroblade 20","All","Stance","None","None","None","Yes","-","-","2 seconds","30 seconds","Implemented","","","While active, grants +30% Enmity generation, +20% Defense and +20% Force Defense, -20% Attack, and -20% Force Attack.","While active, grants +30% Enmity generation, +20% Defense and +20% Force Defense, -20% Attack, and -20% Force Attack.","DefensiveStance/VibrobladeDefense/Defensive Stance rank 1","DefensiveStance1","DefensiveStance1: DefensiveStanceAbilityDefinition.cs name='Defensive Stance' level=1 skill=Invalid activation=Casted FP=- STM=- cast=2 cooldown=30","DefensiveStance1: PASS exact Bible text TLK 5509","DefensiveStance1: PASS exact Bible text TLK 5509",""
"PASS","Scoped implemented","Vibroblade","37","Bulwark","4.0","4","Bulwark II","Vibroblade 22","Vibroblade 22","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Grants +25 Shield Deflection and +10% Physical Defense while a shield is equipped.","Grants +25 Shield Deflection and +10% Physical Defense while a shield is equipped.","Bulwark/VibrobladeDefense/Bulwark rank 2","","-","-","-",""
"PASS","Scoped implemented","Vibroblade","38","Bulwark","4.0","4","Alacrity","Vibroblade 25","Vibroblade 25","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Restore 4 STM when your shield deflects an attack. This can only trigger once every 6 seconds.","Restore 4 STM when your shield deflects an attack. This can only trigger once every 6 seconds.","Alacrity/VibrobladeDefense/Alacrity rank 1","AlacrityTrait","AlacrityTrait: no active ability definition","AlacrityTrait: PASS exact Bible text TLK 4208","-",""
"PASS","Scoped implemented","Vibroblade","39","Bulwark","3.0","3","Shield Bash III","Vibroblade 28","Vibroblade 28","All","Combat","MGT","PER","Combat Formula","Yes","-","6.0","Queued","20 seconds","Implemented","","","On your next hit, deal weapon DMG and an additional instance of damage equal to 8% of your Physical Defense.","On your next hit, deal weapon DMG and an additional instance of damage equal to 8% of your Physical Defense.","ShieldBash/VibrobladeDefense/Shield Bash rank 3","ShieldBash3","ShieldBash3: ShieldBashAbilityDefinition.cs name='Shield Bash III' level=3 skill=Vibroblade activation=Weapon FP=- STM=6 cast=0 cooldown=20","ShieldBash3: PASS exact Bible text TLK 5288","ShieldBash3: PASS exact Bible text TLK 5288",""
"PASS","Scoped implemented","Vibroblade","40","Bulwark","4.0","4","Covering Strike II","Vibroblade 30","Vibroblade 30","All","Combat","MGT","PER","Combat Formula","Yes","-","6.0","Instant","30 seconds","Implemented","","","Strike all enemies within 5m for weapon DMG + 25. Enemies hit generate +25% Enmity toward you for 30 seconds.","Strike all enemies within 5m for weapon DMG + 25. Enemies hit generate +25% Enmity toward you for 30 seconds.","CoveringStrike/VibrobladeDefense/Covering Strike rank 2","CoveringStrike2","CoveringStrike2: CoveringStrikeAbilityDefinition.cs name='Covering Strike II' level=2 skill=Vibroblade activation=Casted FP=- STM=6 cast=0 cooldown=30","CoveringStrike2: PASS exact Bible text TLK 4268","CoveringStrike2: PASS exact Bible text TLK 4268",""
"PASS","Scoped implemented","Vibroblade","41","Bulwark","3.0","3","Shield Wall II","Vibroblade 32","Vibroblade 32","All","Combat","MGT","PER","Combat Formula","Yes","-","10.0","30 seconds","45 seconds","Implemented","","","Channel for up to 30 seconds. While channeling you and any allies within 5m gain 35% damage reduction.","Channel for up to 30 seconds. While channeling you and any allies within 5m gain 35% damage reduction.","ShieldWall/VibrobladeDefense/Shield Wall rank 2","ShieldWall2","ShieldWall2: ShieldWallAbilityDefinition.cs name='Shield Wall II' level=2 skill=Invalid activation=Casted FP=- STM=10 cast=30 cooldown=45","ShieldWall2: PASS exact Bible text TLK 4270","ShieldWall2: PASS exact Bible text TLK 4270",""
"PASS","Scoped implemented","Vibroblade","42","Bulwark","2.0","2","Unbreakable","Vibroblade 35","Vibroblade 35","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","When reduced below 25% HP, gain 40% Physical Defense for 30 seconds. Once per 3 minutes.","When reduced below 25% HP, gain 40% Physical Defense for 30 seconds. Once per 3 minutes.","Unbreakable/VibrobladeDefense/Unbreakable rank 1","UnbreakableTrait","UnbreakableTrait: no active ability definition","UnbreakableTrait: PASS exact Bible text TLK 5240","-",""
"PASS","Scoped implemented","Vibroblade","43","Bulwark","4.0","4","Covering Strike III","Vibroblade 38","Vibroblade 38","All","Combat","MGT","PER","Combat Formula","Yes","-","8.0","Instant","30 seconds","Implemented","","","Strike all enemies within 5m for weapon DMG + 30. Enemies hit generate +25% Enmity toward you for 30 seconds.","Strike all enemies within 5m for weapon DMG + 30. Enemies hit generate +25% Enmity toward you for 30 seconds.","CoveringStrike/VibrobladeDefense/Covering Strike rank 3","CoveringStrike3","CoveringStrike3: CoveringStrikeAbilityDefinition.cs name='Covering Strike III' level=3 skill=Vibroblade activation=Casted FP=- STM=8 cast=0 cooldown=30","CoveringStrike3: PASS exact Bible text TLK 4272","CoveringStrike3: PASS exact Bible text TLK 4272",""
"PASS","Scoped implemented","Vibroblade","44","Bulwark","5.0","5","Shield Bash IV","Vibroblade 40","Vibroblade 40","All","Combat","MGT","PER","Combat Formula","Yes","-","8.0","Queued","20 seconds","Implemented","","","On your next hit, deal weapon DMG and an additional instance of damage equal to 10% of your Physical Defense.","On your next hit, deal weapon DMG and an additional instance of damage equal to 10% of your Physical Defense.","ShieldBash/VibrobladeDefense/Shield Bash rank 4","ShieldBash4","ShieldBash4: ShieldBashAbilityDefinition.cs name='Shield Bash IV' level=4 skill=Vibroblade activation=Weapon FP=- STM=8 cast=0 cooldown=20","ShieldBash4: PASS exact Bible text TLK 4274","ShieldBash4: PASS exact Bible text TLK 4274",""
"PASS","Scoped implemented","Vibroblade","45","Bulwark","4.0","4","Bulwark III","Vibroblade 45","Vibroblade 45","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Grants +35 Shield Deflection and +12% Physical Defense while a shield is equipped.","Grants +35 Shield Deflection and +12% Physical Defense while a shield is equipped.","Bulwark/VibrobladeDefense/Bulwark rank 3","","-","-","-",""
"PASS","Scoped implemented","Vibroblade","46","Bulwark","6.0","6","Invincible","Vibroblade 50","Vibroblade 50; Quest invincible_mastery","All","Capstone","MGT","PER","Combat Formula","Yes","-","15.0","1 second","90 seconds","Implemented","","","For 45 seconds, you take 50% less physical damage and are immune to Knockdown and Dazed.","For 45 seconds, you take 50% less physical damage and are immune to Knockdown and Dazed.","Invincible/VibrobladeDefense/Invincible rank 1","Invincible1","Invincible1: InvincibleAbilityDefinition.cs name='Invincible' level=1 skill=Invalid activation=Casted FP=- STM=15 cast=1 cooldown=90","Invincible1: PASS exact Bible text TLK 3819","Invincible1: PASS exact Bible text TLK 3819",""
"PASS","Scoped implemented","Vibroknife","9","Shadow","2.0","2","Pathogen Strike I","Vibroknife 2","Vibroknife 2","All","Combat","MGT","PER","Combat Formula","Yes","-","3.0","Queued","12 seconds","Implemented","","","Deals weapon DMG + 6. Extends your Venom and Infection effects on the target by 4 seconds.","Deals weapon DMG + 6. Extends your Venom and Infection effects on the target by 4 seconds.","PathogenStrike/VibroknifeShadow/Pathogen Strike rank 1","PathogenStrike1","PathogenStrike1: PathogenStrikeAbilityDefinition.cs name='Pathogen Strike I' level=1 skill=Vibroknife activation=Weapon FP=- STM=3 cast=0 cooldown=12","PathogenStrike1: PASS exact Bible text TLK 5969","PathogenStrike1: PASS exact Bible text TLK 5969",""
"PASS","Scoped implemented","Vibroknife","10","Shadow","2.0","2","Hypermetabolize","Vibroknife 5","Vibroknife 5","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Reduces incoming healing on targets affected by your Venom by 15%.","Reduces incoming healing on targets affected by your Venom by 15%.","Hypermetabolize/VibroknifeShadow/Hypermetabolize rank 1","HypermetabolizeTrait","HypermetabolizeTrait: no active ability definition","HypermetabolizeTrait: PASS exact Bible text TLK 5977","-",""
"PASS","Scoped implemented","Vibroknife","11","Shadow","2.0","2","Debilitate I","Vibroknife 8","Vibroknife 8","All","Trait","None","None","None","Yes","-","-","-","-","Implemented","","","Your hostile combat abilities deal +4 DMG to targets affected by your Venom.","Your hostile combat abilities deal +4 DMG to targets affected by your Venom.","Debilitate/VibroknifeShadow/Debilitate rank 1","DebilitateTrait","DebilitateTrait: no active ability definition","DebilitateTrait: PASS exact Bible text TLK 5978","-",""
