TrackerRow,Group,Perk,OriginalTestStatus,BibleTab,BibleRow,MetadataReview,CodePerk,AbilityEvidence,ReviewOutcome
73,Beast Mastery,Bodyguard's Resolve,Not Tested,Beast Mastery,75,PASS,BodyguardsResolve/BeastTank/Bodyguard's Resolve rank 1,BodyguardsResolveTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
74,Beast Mastery,Guarding Roar II,Not Tested,Beast Mastery,76,PASS,GuardingRoar/BeastTank/Guarding Roar rank 2,GuardingRoar2: GuardingRoarAbilityDefinition.cs name='Guarding Roar II' level=2 skill=BeastMastery activation=Casted FP=- STM=8 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
75,Beast Mastery,Iron Hide III,Not Tested,Beast Mastery,77,PASS,IronHide/BeastTank/Iron Hide rank 3,IronHide3: IronHideAbilityDefinition.cs name='Iron Hide III' level=3 skill=BeastMastery activation=Casted FP=- STM=6 cast=0 cooldown=18,AI checks the active buff rank instead of repeatedly recasting an equal or stronger buff.
76,Beast Mastery,Intercept II,Not Tested,Beast Mastery,78,PASS,Intercept/BeastTank/Intercept rank 2,Intercept2: InterceptAbilityDefinition.cs name='Intercept II' level=2 skill=BeastMastery activation=Casted FP=- STM=8 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
77,Beast Mastery,Focus Attention III,Not Tested,Beast Mastery,79,PASS,FocusAttention/BeastTank/Focus Attention rank 3,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
78,Beast Mastery,Rampart Hide,Not Tested,Beast Mastery,80,PASS,RampartHide/BeastTank/Rampart Hide rank 1,RampartHide1: RampartHideAbilityDefinition.cs name='Rampart Hide' level=1 skill=BeastMastery activation=Casted FP=- STM=9 cast=0 cooldown=45,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
79,Beast Mastery,Guarding Roar III,Not Tested,Beast Mastery,81,PASS,GuardingRoar/BeastTank/Guarding Roar rank 3,GuardingRoar3: GuardingRoarAbilityDefinition.cs name='Guarding Roar III' level=3 skill=BeastMastery activation=Casted FP=- STM=10 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
80,Beast Mastery,Last Guardian,Not Tested,Beast Mastery,82,PASS,LastGuardian/BeastTank/Last Guardian rank 1,LastGuardianTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
81,Beast Mastery,Unbreakable Beast,Not Tested,Beast Mastery,83,PASS,UnbreakableBeast/BeastTank/Unbreakable Beast rank 1,UnbreakableBeast1: UnbreakableBeastAbilityDefinition.cs name='Unbreakable Beast' level=1 skill=BeastMastery activation=Casted FP=- STM=12 cast=0 cooldown=60,"Stat-driven knockdown, daze, and forced-movement immunity replaces overbroad Mind/Mobility resistance."
83,Beast Mastery,Bolster Attack I,Retest,Beast Mastery,87,PASS,BolsterAttack/BeastBalanced/Bolster Attack rank 1,BolsterAttack1: BolsterAttackAbilityDefinition.cs name='Bolster Attack I' level=1 skill=BeastMastery activation=Casted FP=- STM=3 cast=0 cooldown=18,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
88,Beast Mastery,Bolster Attack II,Retest,Beast Mastery,92,PASS,BolsterAttack/BeastBalanced/Bolster Attack rank 2,BolsterAttack2: BolsterAttackAbilityDefinition.cs name='Bolster Attack II' level=2 skill=BeastMastery activation=Casted FP=- STM=4 cast=0 cooldown=18,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
89,Beast Mastery,Coordinated Strike I,Retest,Beast Mastery,93,PASS,CoordinatedStrike/BeastBalanced/Coordinated Strike rank 1,CoordinatedStrike1: CoordinatedStrikeAbilityDefinition.cs name='Coordinated Strike I' level=1 skill=BeastMastery activation=Weapon FP=- STM=5 cast=0 cooldown=15,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
94,Beast Mastery,Bolster Attack III,Retest,Beast Mastery,98,PASS,BolsterAttack/BeastBalanced/Bolster Attack rank 3,BolsterAttack3: BolsterAttackAbilityDefinition.cs name='Bolster Attack III' level=3 skill=BeastMastery activation=Casted FP=- STM=6 cast=0 cooldown=18,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
95,Beast Mastery,Coordinated Strike II,Retest,Beast Mastery,99,PASS,CoordinatedStrike/BeastBalanced/Coordinated Strike rank 2,CoordinatedStrike2: CoordinatedStrikeAbilityDefinition.cs name='Coordinated Strike II' level=2 skill=BeastMastery activation=Weapon FP=- STM=7 cast=0 cooldown=15,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
99,Beast Mastery,Poison Breath I,Not Tested,Beast Mastery,105,PASS,PoisonBreath/BeastBruiser/Poison Breath rank 1,PoisonBreath1: PoisonBreathAbilityDefinition.cs name='Poison Breath I' level=1 skill=BeastMastery activation=Casted FP=- STM=4 cast=0 cooldown=15,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
100,Beast Mastery,Ice Breath I,Not Tested,Beast Mastery,106,PASS,IceBreath/BeastBruiser/Ice Breath rank 1,IceBreath1: IceBreathAbilityDefinition.cs name='Ice Breath I' level=1 skill=BeastMastery activation=Casted FP=- STM=4 cast=0 cooldown=15,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
101,Beast Mastery,Crushing Slam I,Not Tested,Beast Mastery,107,PASS,CrushingSlam/BeastBruiser/Crushing Slam rank 1,CrushingSlam1: CrushingSlamAbilityDefinition.cs name='Crushing Slam I' level=1 skill=BeastMastery activation=Casted FP=- STM=5 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
102,Beast Mastery,Endurance Link I,Not Tested,Beast Mastery,108,PASS,EnduranceLink/BeastBruiser/Endurance Link rank 1,EnduranceLinkTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
103,Beast Mastery,Poison Breath II,Not Tested,Beast Mastery,109,PASS,PoisonBreath/BeastBruiser/Poison Breath rank 2,PoisonBreath2: PoisonBreathAbilityDefinition.cs name='Poison Breath II' level=2 skill=BeastMastery activation=Casted FP=- STM=5 cast=0 cooldown=15,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
104,Beast Mastery,Venomous Hide I,Not Tested,Beast Mastery,110,PASS,VenomousHide/BeastBruiser/Venomous Hide rank 1,VenomousHideTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
105,Beast Mastery,Ice Breath II,Not Tested,Beast Mastery,111,PASS,IceBreath/BeastBruiser/Ice Breath rank 2,IceBreath2: IceBreathAbilityDefinition.cs name='Ice Breath II' level=2 skill=BeastMastery activation=Casted FP=- STM=5 cast=0 cooldown=15,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
106,Beast Mastery,Crushing Slam II,Not Tested,Beast Mastery,112,PASS,CrushingSlam/BeastBruiser/Crushing Slam rank 2,CrushingSlam2: CrushingSlamAbilityDefinition.cs name='Crushing Slam II' level=2 skill=BeastMastery activation=Casted FP=- STM=7 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
107,Beast Mastery,Endurance Link II,Not Tested,Beast Mastery,113,PASS,EnduranceLink/BeastBruiser/Endurance Link rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
108,Beast Mastery,Rampage I,Not Tested,Beast Mastery,114,PASS,Rampage/BeastBruiser/Rampage rank 1,Rampage1: RampageAbilityDefinition.cs name='Rampage I' level=1 skill=BeastMastery activation=Casted FP=- STM=7 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
109,Beast Mastery,Poison Breath III,Not Tested,Beast Mastery,115,PASS,PoisonBreath/BeastBruiser/Poison Breath rank 3,PoisonBreath3: PoisonBreathAbilityDefinition.cs name='Poison Breath III' level=3 skill=BeastMastery activation=Casted FP=- STM=7 cast=0 cooldown=15,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
110,Beast Mastery,Venomous Hide II,Not Tested,Beast Mastery,116,PASS,VenomousHide/BeastBruiser/Venomous Hide rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
111,Beast Mastery,Ice Breath III,Not Tested,Beast Mastery,117,PASS,IceBreath/BeastBruiser/Ice Breath rank 3,IceBreath3: IceBreathAbilityDefinition.cs name='Ice Breath III' level=3 skill=BeastMastery activation=Casted FP=- STM=7 cast=0 cooldown=15,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
112,Beast Mastery,Crushing Slam III,Not Tested,Beast Mastery,118,PASS,CrushingSlam/BeastBruiser/Crushing Slam rank 3,CrushingSlam3: CrushingSlamAbilityDefinition.cs name='Crushing Slam III' level=3 skill=BeastMastery activation=Casted FP=- STM=9 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
113,Beast Mastery,Endurance Link III,Not Tested,Beast Mastery,119,PASS,EnduranceLink/BeastBruiser/Endurance Link rank 3,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
114,Beast Mastery,Rampage II,Not Tested,Beast Mastery,120,PASS,Rampage/BeastBruiser/Rampage rank 2,Rampage2: RampageAbilityDefinition.cs name='Rampage II' level=2 skill=BeastMastery activation=Casted FP=- STM=9 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
115,Beast Mastery,Primal Overrun,Not Tested,Beast Mastery,121,PASS,PrimalOverrun/BeastBruiser/Primal Overrun rank 1,PrimalOverrun1: PrimalOverrunAbilityDefinition.cs name='Primal Overrun' level=1 skill=BeastMastery activation=Casted FP=- STM=12 cast=0 cooldown=45,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
116,Beast Mastery,Evasive Maneuver I,Not Tested,Beast Mastery,124,PASS,EvasiveManeuver/BeastEvasion/Evasive Maneuver rank 1,EvasiveManeuver1: EvasiveManeuverAbilityDefinition.cs name='Evasive Maneuver I' level=1 skill=BeastMastery activation=Casted FP=- STM=3 cast=0 cooldown=18,AI checks the active buff rank instead of repeatedly recasting an equal or stronger buff.
117,Beast Mastery,Assault I,Not Tested,Beast Mastery,125,PASS,Assault/BeastEvasion/Assault rank 1,Assault1: AssaultAbilityDefinition.cs name='Assault I' level=1 skill=BeastMastery activation=Casted FP=- STM=3 cast=0 cooldown=10,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
118,Beast Mastery,Distracting Feint I,Not Tested,Beast Mastery,126,PASS,DistractingFeint/BeastEvasion/Distracting Feint rank 1,DistractingFeint1: DistractingFeintAbilityDefinition.cs name='Distracting Feint I' level=1 skill=BeastMastery activation=Weapon FP=- STM=4 cast=0 cooldown=15,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
119,Beast Mastery,Evasive Challenge I,Not Tested,Beast Mastery,127,PASS,EvasiveChallenge/BeastEvasion/Evasive Challenge rank 1,EvasiveChallenge1: EvasiveChallengeAbilityDefinition.cs name='Evasive Challenge I' level=1 skill=BeastMastery activation=Casted FP=- STM=5 cast=0 cooldown=30,Consume only the one-use stamina refund; retain evasion and original expiration.
120,Beast Mastery,Evasive Maneuver II,Not Tested,Beast Mastery,128,PASS,EvasiveManeuver/BeastEvasion/Evasive Maneuver rank 2,EvasiveManeuver2: EvasiveManeuverAbilityDefinition.cs name='Evasive Maneuver II' level=2 skill=BeastMastery activation=Casted FP=- STM=4 cast=0 cooldown=18,AI checks the active buff rank instead of repeatedly recasting an equal or stronger buff.
121,Beast Mastery,Sniff I,Not Tested,Beast Mastery,129,PASS,Sniff/BeastEvasion/Sniff rank 1,SniffTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
122,Beast Mastery,Assault II,Not Tested,Beast Mastery,130,PASS,Assault/BeastEvasion/Assault rank 2,Assault2: AssaultAbilityDefinition.cs name='Assault II' level=2 skill=BeastMastery activation=Casted FP=- STM=5 cast=0 cooldown=10,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
123,Beast Mastery,Distracting Feint II,Not Tested,Beast Mastery,131,PASS,DistractingFeint/BeastEvasion/Distracting Feint rank 2,DistractingFeint2: DistractingFeintAbilityDefinition.cs name='Distracting Feint II' level=2 skill=BeastMastery activation=Weapon FP=- STM=5 cast=0 cooldown=15,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
124,Beast Mastery,Quick Recovery I,Not Tested,Beast Mastery,132,PASS,QuickRecovery/BeastEvasion/Quick Recovery rank 1,QuickRecoveryTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
127,Beast Mastery,Sniff II,Not Tested,Beast Mastery,135,PASS,Sniff/BeastEvasion/Sniff rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
130,Beast Mastery,Quick Recovery II,Not Tested,Beast Mastery,138,PASS,QuickRecovery/BeastEvasion/Quick Recovery rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
131,Beast Mastery,Sniff III,Not Tested,Beast Mastery,139,PASS,Sniff/BeastEvasion/Sniff rank 3,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
132,Beast Mastery,Untouchable Instinct,Not Tested,Beast Mastery,140,PASS,UntouchableInstinct/BeastEvasion/Untouchable Instinct rank 1,UntouchableInstinct1: UntouchableInstinctAbilityDefinition.cs name='Untouchable Instinct' level=1 skill=BeastMastery activation=Casted FP=- STM=10 cast=0 cooldown=45,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
133,Beast Mastery,Force Touch I,Not Tested,Beast Mastery,143,PASS,ForceTouch/BeastForce/Force Touch rank 1,ForceTouch1: ForceTouchAbilityDefinition.cs name='Force Touch I' level=1 skill=BeastMastery activation=Casted FP=3 STM=- cast=0 cooldown=8,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
134,Beast Mastery,Innervate I,Not Tested,Beast Mastery,144,PASS,Innervate/BeastForce/Innervate rank 1,Innervate1: InnervateAbilityDefinition.cs name='Innervate I' level=1 skill=BeastMastery activation=Casted FP=3 STM=- cast=0 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
135,Beast Mastery,Warding Howl I,Not Tested,Beast Mastery,145,PASS,WardingHowl/BeastForce/Warding Howl rank 1,WardingHowl1: WardingHowlAbilityDefinition.cs name='Warding Howl I' level=1 skill=BeastMastery activation=Casted FP=4 STM=- cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
136,Beast Mastery,Force Link I,Not Tested,Beast Mastery,146,PASS,ForceLink/BeastForce/Force Link rank 1,ForceLinkTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
137,Beast Mastery,Force Touch II,Not Tested,Beast Mastery,147,PASS,ForceTouch/BeastForce/Force Touch rank 2,ForceTouch2: ForceTouchAbilityDefinition.cs name='Force Touch II' level=2 skill=BeastMastery activation=Casted FP=4 STM=- cast=0 cooldown=8,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
138,Beast Mastery,Psychic Cry I,Not Tested,Beast Mastery,148,PASS,PsychicCry/BeastForce/Psychic Cry rank 1,PsychicCry1: PsychicCryAbilityDefinition.cs name='Psychic Cry I' level=1 skill=BeastMastery activation=Casted FP=5 STM=- cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
139,Beast Mastery,Innervate II,Not Tested,Beast Mastery,149,PASS,Innervate/BeastForce/Innervate rank 2,Innervate2: InnervateAbilityDefinition.cs name='Innervate II' level=2 skill=BeastMastery activation=Casted FP=4 STM=- cast=0 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
140,Beast Mastery,Warding Howl II,Not Tested,Beast Mastery,150,PASS,WardingHowl/BeastForce/Warding Howl rank 2,WardingHowl2: WardingHowlAbilityDefinition.cs name='Warding Howl II' level=2 skill=BeastMastery activation=Casted FP=5 STM=- cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
141,Beast Mastery,Force Link II,Not Tested,Beast Mastery,151,PASS,ForceLink/BeastForce/Force Link rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
142,Beast Mastery,Force Touch III,Not Tested,Beast Mastery,152,PASS,ForceTouch/BeastForce/Force Touch rank 3,ForceTouch3: ForceTouchAbilityDefinition.cs name='Force Touch III' level=3 skill=BeastMastery activation=Casted FP=6 STM=- cast=0 cooldown=8,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
143,Beast Mastery,Mindful Hide,Not Tested,Beast Mastery,153,PASS,MindfulHide/BeastForce/Mindful Hide rank 1,MindfulHideTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
144,Beast Mastery,Psychic Cry II,Not Tested,Beast Mastery,154,PASS,PsychicCry/BeastForce/Psychic Cry rank 2,PsychicCry2: PsychicCryAbilityDefinition.cs name='Psychic Cry II' level=2 skill=BeastMastery activation=Casted FP=7 STM=- cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
145,Beast Mastery,Innervate III,Not Tested,Beast Mastery,155,PASS,Innervate/BeastForce/Innervate rank 3,Innervate3: InnervateAbilityDefinition.cs name='Innervate III' level=3 skill=BeastMastery activation=Casted FP=6 STM=- cast=0 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
146,Beast Mastery,Warding Howl III,Not Tested,Beast Mastery,156,PASS,WardingHowl/BeastForce/Warding Howl rank 3,WardingHowl3: WardingHowlAbilityDefinition.cs name='Warding Howl III' level=3 skill=BeastMastery activation=Casted FP=7 STM=- cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
147,Beast Mastery,Force Link III,Not Tested,Beast Mastery,157,PASS,ForceLink/BeastForce/Force Link rank 3,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
148,Beast Mastery,Psychic Cry III,Not Tested,Beast Mastery,158,PASS,PsychicCry/BeastForce/Psychic Cry rank 3,PsychicCry3: PsychicCryAbilityDefinition.cs name='Psychic Cry III' level=3 skill=BeastMastery activation=Casted FP=8 STM=- cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
149,Beast Mastery,Force-Bonded Beast,Not Tested,Beast Mastery,159,PASS,ForceBondedBeast/BeastForce/Force-Bonded Beast rank 1,ForceBondedBeast1: ForceBondedBeastAbilityDefinition.cs name='Force-Bonded Beast' level=1 skill=BeastMastery activation=Casted FP=9 STM=- cast=0 cooldown=45,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
218,Engineering,Droid Assembly I,Not Tested,Engineering,9,PASS,DroidAssembly/Engineering/Droid Assembly rank 1,DroidAssemblyTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
219,Engineering,Droid Assembly II,Not Tested,Engineering,10,PASS,DroidAssembly/Engineering/Droid Assembly rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
220,Engineering,Droid Assembly III,Not Tested,Engineering,11,PASS,DroidAssembly/Engineering/Droid Assembly rank 3,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
221,Engineering,Droid Assembly IV,Not Tested,Engineering,12,PASS,DroidAssembly/Engineering/Droid Assembly rank 4,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
222,Engineering,Droid Assembly V,Not Tested,Engineering,13,PASS,DroidAssembly/Engineering/Droid Assembly rank 5,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
233,Espionage,Back Attack II,Not Tested,Espionage,21,PASS,BackAttack/EspionageInfiltrator/Back Attack rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
235,Espionage,Shadow Step I,Retest,Espionage,23,PASS,ShadowStep/EspionageInfiltrator/Shadow Step rank 1,ShadowStep1: ShadowStepAbilityDefinition.cs name='Shadow Step I' level=1 skill=Espionage activation=Casted FP=- STM=10 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
240,Espionage,Back Attack III,Not Tested,Espionage,28,PASS,BackAttack/EspionageInfiltrator/Back Attack rank 3,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
243,Espionage,Shadow Step II,Retest,Espionage,31,PASS,ShadowStep/EspionageInfiltrator/Shadow Step rank 2,ShadowStep2: ShadowStepAbilityDefinition.cs name='Shadow Step II' level=2 skill=Espionage activation=Casted FP=- STM=14 cast=0 cooldown=24,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
245,Espionage,Ghost Protocol,Retest,Espionage,33,PASS,GhostProtocol/EspionageInfiltrator/Ghost Protocol rank 1,GhostProtocol: GhostProtocolAbilityDefinition.cs name='Ghost Protocol' level=1 skill=Espionage activation=Casted FP=- STM=15 cast=0 cooldown=90,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
246,Espionage,Poisoncraft I,Not Tested,Espionage,36,PASS,Poisoncraft/EspionageSaboteur/Poisoncraft rank 1,PoisoncraftTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
247,Espionage,Trapcraft I,Not Tested,Espionage,37,PASS,Trapcraft/EspionageSaboteur/Trapcraft rank 1,TrapcraftTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
248,Espionage,Venom Expertise I,Not Tested,Espionage,38,PASS,VenomExpertise/EspionageSaboteur/Venom Expertise rank 1,VenomExpertiseTrait: no active ability definition,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
249,Espionage,Razor Trap I,Not Tested,Espionage,39,PASS,RazorTrap/EspionageSaboteur/Razor Trap rank 1,RazorTrap1: RazorTrapAbilityDefinition.cs name='Razor Trap I' level=1 skill=Espionage activation=Casted FP=- STM=5 cast=2 cooldown=12,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
250,Espionage,Poisoncraft II,Not Tested,Espionage,40,PASS,Poisoncraft/EspionageSaboteur/Poisoncraft rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
251,Espionage,Trapcraft II,Not Tested,Espionage,41,PASS,Trapcraft/EspionageSaboteur/Trapcraft rank 2,-,No additional mismatch identified in source review; see generated registry evidence and group validation in PerkTrackerReview.md.
