Style	SP Price	Perk Name	Skill Reqs.	Char. Type	Type	Alignment	Affinity Shift	Description	FP	STM	Casting Time	Cooldown Time	Dev Status	Additional Requirements	Notes
Dark Manipulator	3	Mind Shroud I	Force 15	Force	Combat	Universal	0	Reduces force damage taken by 5% and grants +10% resistance to confusion, daze, and fear for 30 seconds.	3	-	-	60 seconds	Design		Universal defensive utility.
Dark Manipulator	3	Creeping Terror II	Force 18	Force	Combat	Dark	-1	Attempts DC12 Will to hobble up to 2 targets for 6 seconds and applies force damage over time for 18 seconds.	6	-	1 second	30 seconds	Design		Dark affinity affects DoT and DC.
Dark Manipulator	2	Force Grip II	Force 22	Force	Combat	Dark	-1	Attempts DC12 Fortitude to immobilize one target for 4 seconds and interrupt activation.	5	-	1 second	36 seconds	Design		Short hard control.
Dark Manipulator	4	Nightmare Field	Force 25	Force	Combat	Dark	-1	Nearby enemies make DC12 Will or suffer -10 Accuracy and -10 Evasion for 18 seconds.	7	-	1.5 seconds	75 seconds	Design		Control field without stealth overlap.
Dark Manipulator	3	Weaken Resolve II	Force 28	Force	Combat	Dark	-1	Attempts DC12 Will to increase force damage taken by 10% for 24 seconds.	5	-	1 second	18 seconds	Design		Set-up debuff for Force parties.
Dark Manipulator	4	Force Choke	Force 30	Force	Combat	Dark	-1	Attempts DC14 Fortitude to daze one target for 3 seconds and apply force damage over time for 12 seconds.	7	-	1 second	60 seconds	Design		No concentration channel.
Dark Manipulator	3	Mind Shroud II	Force 35	Force	Combat	Universal	0	Reduces force damage taken by 10% and grants +15% resistance to confusion, daze, and fear for 30 seconds.	4	-	-	60 seconds	Design		Universal defensive utility.
Dark Manipulator	3	Fracture Focus II	Force 38	Force	Combat	Dark	-1	Attempts DC14 Will to increase nearby enemies' FP and STM ability costs by 25% for 12 seconds.	8	-	1 second	60 seconds	Design		Dark affinity affects DC.
Dark Manipulator	4	Dominate Weak Mind	Force 40	Force	Combat	Dark	-1	Attempts DC14 Will to confuse one non-mechanical target for 8 seconds. Bosses instead suffer -15 Accuracy.	8	-	1 second	90 seconds	Design		Boss-safe fallback effect.
Dark Manipulator	4	Creeping Terror III	Force 42	Force	Combat	Dark	-1	Attempts DC14 Will to hobble nearby enemies for 6 seconds and applies force damage over time for 18 seconds.	8	-	1.5 seconds	30 seconds	Design		Dark affinity affects DoT and DC.
Dark Manipulator	4	Collapse Will	Force 45	Force	Combat	Dark	-1	Attempts DC15 Will to apply Exposed and Force Erosion for 18 seconds.	9	-	1 second	75 seconds	Design		High-tier debuff setup.
Dark Manipulator	3	Force Grip III	Force 48	Force	Combat	Dark	-1	Attempts DC14 Fortitude to immobilize up to 2 targets for 4 seconds and interrupt activation.	7	-	1 second	36 seconds	Design		Short hard control.
Dark Manipulator	5	Eclipse of Resolve	Force 50	Force	Combat	Dark	-1	Nearby enemies make DC16 Will or suffer -15% hit chance, -15% evasion chance, and +25% FP and STM costs for 15 seconds.	11	-	1.5 seconds	3 minutes	Design		Dark capstone control window.
