Style	SP Price	Perk Name	Skill Reqs.	Char. Type	Type	Description	FP	STM	Casting Time	Cooldown Time	Dev Status	Additional Requirements	Notes
Combat Pharmacology	2	Adrenal Stim I	-	All	Combat	Restores 10% of maximum STM and grants minor STM regeneration for 12 seconds. Consumes a stim pack.	-	-	1 second	2 minutes	Design		No raw attribute buff.
Combat Pharmacology	2	Shielding I	First Aid 5	All	Combat	Reduces physical and force damage taken by 5% for 3 minutes. Consumes a stim pack.	-	3	1 second	30 seconds	Design		One medical defense serum active at a time.
Combat Pharmacology	3	Coagulant I	First Aid 8	All	Combat	Grants 50% Bleed resistance and reduces incoming physical damage over time effects for 2 minutes. Consumes a stim pack.	-	3	1 second	45 seconds	Design		
Combat Pharmacology	3	Adrenal Stim II	First Aid 12	All	Combat	Restores 18% of maximum STM and grants STM regeneration for 12 seconds. Consumes a stim pack.	-	-	1 second	2 minutes	Design		
Combat Pharmacology	3	Pain Suppressant I	First Aid 15	All	Combat	Grants temporary HP and 10% damage reduction for 18 seconds. Consumes a stim pack.	-	5	1 second	60 seconds	Design		
Combat Pharmacology	3	Antitoxin I	First Aid 18	All	Combat	Grants 50% Poison and Disease resistance for 2 minutes and removes one Poison effect. Consumes a stim pack.	-	3	1 second	45 seconds	Design		
Combat Pharmacology	2	Field Pharmacist I	First Aid 22	All	Trait	Stim pack effects last 15% longer and have a 10% chance not to consume the stim pack.	-	-	-	-	Design		
Combat Pharmacology	4	Shielding II	First Aid 25	All	Combat	Reduces physical and force damage taken by 8% for 3 minutes. Consumes a stim pack.	-	4	1 second	30 seconds	Design		
Combat Pharmacology	3	Focus Stim I	First Aid 28	All	Combat	Increases physical and force ability hit chance by 5% for 2 minutes. Consumes a stim pack.	-	4	1 second	45 seconds	Design		Percentage modifier, no raw stat increase.
Combat Pharmacology	4	Adrenal Stim III	First Aid 30	All	Combat	Restores 25% of maximum STM and grants STM regeneration for 12 seconds. Consumes a stim pack.	-	-	1 second	2 minutes	Design		
Combat Pharmacology	3	Pain Suppressant II	First Aid 35	All	Combat	Grants temporary HP and 15% damage reduction for 18 seconds. Consumes a stim pack.	-	6	1 second	60 seconds	Design		
Combat Pharmacology	3	Field Pharmacist II	First Aid 38	All	Trait	Stim pack effects last 25% longer and have a 20% chance not to consume the stim pack.	-	-	-	-	Design		
Combat Pharmacology	4	Coagulant II	First Aid 40	All	Combat	Grants Bleed immunity and 20% resistance to physical damage over time effects for 2 minutes. Consumes a stim pack.	-	4	1 second	45 seconds	Design		
Combat Pharmacology	4	Shielding III	First Aid 42	All	Combat	Reduces physical and force damage taken by 11% for 3 minutes. Consumes a stim pack.	-	5	1 second	30 seconds	Design		
Combat Pharmacology	4	Focus Stim II	First Aid 45	All	Combat	Increases physical and force ability hit chance by 8% for 2 minutes. Consumes a stim pack.	-	5	1 second	45 seconds	Design		
Combat Pharmacology	3	Field Pharmacist III	First Aid 48	All	Trait	Stim pack effects last 35% longer and have a 30% chance not to consume the stim pack.	-	-	-	-	Design		
Combat Pharmacology	5	Emergency Cocktail	First Aid 50	All	Combat	Applies full-strength Adrenal Stim, Pain Suppressant, and Antitoxin effects for 18 seconds. Consumes extra stim packs.	-	8	1 second	5 minutes	Design		Line capstone; full effect, long cooldown.
