Style	SP Price	Perk Name	Beast Level Req.	Type	Description	FP	STM	Casting Time	Cooldown Time	Dev Status	Additional Requirements	Notes
Bruiser	3	Poison Breath III	38	Combat	The beast breathes poison at hostile targets in a cone, dealing high poison DMG and attempting DC14 Fortitude to inflict Poison.	-	7	-	24 seconds	Design	Bruiser beast only	Hostiles only. If cone AI remains unstable, implement as a hostile-only target-centered burst.
Bruiser	3	Venomous Hide II	40	Trait	Enemies that damage the beast in melee have a 20% chance to suffer poison DMG.	-	-	-	-	Design	Bruiser beast only	
Bruiser	4	Ice Breath III	42	Combat	The beast breathes ice at hostile targets in a cone, dealing high ice DMG and attempting DC14 Reflex to immobilize for 2 seconds.	-	7	-	24 seconds	Design	Bruiser beast only	Hostiles only. If cone AI remains unstable, implement as a hostile-only target-centered burst.
Bruiser	4	Crushing Slam III	45	Combat	The beast slams nearby hostile enemies for physical DMG and attempts DC14 Fortitude to daze for 3 seconds.	-	9	-	45 seconds	Design	Bruiser beast only	Hostiles only.
Bruiser	4	Endurance Link III	48	Trait	The beast has a 30% chance to restore 1 STM to its master when it lands an attack.	-	-	-	-	Design	Bruiser beast only	
Bruiser	3	Rampage II	50	Combat	The beast attacks up to 4 nearby hostile enemies for physical DMG.	-	9	-	45 seconds	Design	Bruiser beast only	Hostiles only.
Bruiser	5	Primal Overrun	50	Combat	The beast deals heavy physical DMG to nearby hostile enemies and deals 12% more damage for 15 seconds.	-	12	-	2 minutes	Design	Bruiser beast only	Capstone. Hostiles only. Percentage modifier only.
Evasion	2	Evasive Maneuver I	5	Combat	The beast gains +6% evasion chance for 3 minutes.	-	3	-	30 seconds	Design	Evasion beast only	
Evasion	2	Assault I	8	Combat	The beast's next attack deals +10 physical DMG and grants +6% evasion chance for 10 seconds.	-	3	-	15 seconds	Design	Evasion beast only	
Evasion	3	Distracting Feint I	12	Combat	The beast's next attack attempts DC10 Reflex to reduce target physical and force ability hit chance by 6% for 15 seconds and generates extra enmity.	-	4	-	24 seconds	Design	Evasion beast only	
Evasion	3	Evasive Challenge I	15	Combat	The beast goads a single target, gains +8% evasion chance for 8 seconds, and restores 1 STM the next time it evades during the effect.	-	5	-	60 seconds	Design	Evasion beast only	Replaces enmity drop so evade-trigger perks can actually fire.
Evasion	3	Evasive Maneuver II	18	Combat	The beast gains +10% evasion chance for 3 minutes.	-	4	-	30 seconds	Design	Evasion beast only	
Evasion	3	Sniff I	22	Trait	The beast has a small increased chance to find rare items after combat.	-	-	-	-	Design	Evasion beast only	Kept as Evasion role utility.
Evasion	2	Assault II	25	Combat	The beast's next attack deals +20 physical DMG and grants +10% evasion chance for 10 seconds.	-	5	-	15 seconds	Design	Evasion beast only	
Evasion	4	Distracting Feint II	28	Combat	The beast's next attack attempts DC12 Reflex to reduce target hit chance and evasion chance by 8% for 15 seconds and generates extra enmity.	-	5	-	24 seconds	Design	Evasion beast only	
Evasion	3	Quick Recovery I	30	Trait	When the beast evades an attack, it has a 15% chance to restore 1 STM.	-	-	-	-	Design	Evasion beast only	
Evasion	4	Evasive Challenge II	35	Combat	The beast goads nearby enemies, removes movement slow, gains +14% evasion chance for 8 seconds, and restores 1 STM the next time it evades during the effect.	-	7	-	60 seconds	Design	Evasion beast only	Replaces enmity drop so evade-trigger perks can actually fire.
Evasion	3	Evasive Maneuver III	38	Combat	The beast gains +14% evasion chance for 3 minutes.	-	6	-	30 seconds	Design	Evasion beast only	
Evasion	3	Sniff II	40	Trait	The beast has a moderate increased chance to find rare items after combat.	-	-	-	-	Design	Evasion beast only	
Evasion	4	Assault III	42	Combat	The beast's next attack deals +32 physical DMG and grants +14% evasion chance for 10 seconds.	-	7	-	15 seconds	Design	Evasion beast only	
Evasion	4	Distracting Feint III	45	Combat	The beast's next attack attempts DC14 Reflex to reduce target hit chance and evasion chance by 12% for 15 seconds and generates extra enmity.	-	7	-	24 seconds	Design	Evasion beast only	
Evasion	4	Quick Recovery II	48	Trait	When the beast evades an attack, it has a 25% chance to restore 1 STM.	-	-	-	-	Design	Evasion beast only	
Evasion	3	Sniff III	50	Trait	The beast has a high increased chance to find rare items after combat.	-	-	-	-	Design	Evasion beast only	
Evasion	5	Untouchable Instinct	50	Combat	The beast gains +20% evasion chance, +30% enmity generation, and 20% movement speed for 15 seconds.	-	10	-	2 minutes	Design	Evasion beast only	Capstone. Designed to trigger evade-based perks instead of avoiding attention.
Force	2	Force Touch I	5	Combat	The beast's next attack deals +12 force DMG.	3	-	-	12 seconds	Design	Force beast only	Beast Force role does not alter character Force Affinity.
Force	2	Innervate I	8	Combat	The beast restores 6% of maximum HP to a single ally.	3	-	-	18 seconds	Design	Force beast only	Lower throughput than First Aid.
Force	3	Warding Howl I	12	Combat	The beast causes nearby allies to take 5% less force damage for 20 seconds.	4	-	-	45 seconds	Design	Force beast only	
Force	3	Force Link I	15	Trait	The beast has a 10% chance to restore 1 FP to its master when it lands an attack.	-	-	-	-	Design	Force beast only	
Force	3	Force Touch II	18	Combat	The beast's next attack deals +22 force DMG.	4	-	-	12 seconds	Design	Force beast only	
Force	3	Psychic Cry I	22	Combat	The beast attempts DC10 Will to reduce nearby enemies' hit chance by 5% for 15 seconds.	5	-	-	45 seconds	Design	Force beast only	
Force	2	Innervate II	25	Combat	The beast restores 10% of maximum HP to a single ally.	4	-	-	18 seconds	Design	Force beast only	Lower throughput than First Aid.
Force	4	Warding Howl II	28	Combat	The beast causes nearby allies to take 8% less force damage for 20 seconds.	5	-	-	45 seconds	Design	Force beast only	
Force	3	Force Link II	30	Trait	The beast has a 20% chance to restore 1 FP to its master when it lands an attack.	-	-	-	-	Design	Force beast only	
Force	4	Force Touch III	35	Combat	The beast's next attack deals +34 force DMG.	6	-	-	12 seconds	Design	Force beast only	
Force	3	Mindful Hide	38	Trait	The beast takes 8% less force damage and gains +10% resistance to confusion, daze, and fear.	-	-	-	-	Design	Force beast only	
Force	3	Psychic Cry II	40	Combat	The beast attempts DC12 Will to reduce nearby enemies' hit chance by 8% and increase their force damage taken by 5% for 15 seconds.	7	-	-	45 seconds	Design	Force beast only	
Force	4	Innervate III	42	Combat	The beast restores 14% of maximum HP to a single ally.	6	-	-	18 seconds	Design	Force beast only	Lower throughput than First Aid.
Force	4	Warding Howl III	45	Combat	The beast causes nearby allies to take 12% less force damage for 20 seconds.	7	-	-	45 seconds	Design	Force beast only	
Force	4	Force Link III	48	Trait	The beast has a 30% chance to restore 1 FP to its master when it lands an attack.	-	-	-	-	Design	Force beast only	
Force	3	Psychic Cry III	50	Combat	The beast attempts DC14 Will to reduce nearby enemies' hit chance by 12% and increase their force damage taken by 8% for 15 seconds.	8	-	-	45 seconds	Design	Force beast only	
Force	5	Force-Bonded Beast	50	Combat	The beast and its master take 10% less force damage and gain minor FP regeneration for 18 seconds.	9	-	-	2 minutes	Design	Force beast only	Capstone. Percentage mitigation only.
