Style	SP Price	Perk Name	Skill Reqs.	Char. Type	Type	Description	FP	STM	Casting Time	Cooldown Time	Dev Status	Additional Requirements	Notes
Field Engineer	4	Shock Turret I	Devices 25	Standard	Combat	Deploys an immobile turret for 21 seconds that fires shock bolts at hostile targets within 10m. Targets make DC12 Reflex or suffer Shock.	-	5	1.5 seconds	75 seconds	Design		Useful even when enemies move around.
Field Engineer	3	Incendiary Field II	Devices 28	Standard	Combat	Deploys a visible fire field for 15 seconds. Enemies inside take increased fire DMG plus PER scaling every 3 seconds.	-	5	1.5 seconds	60 seconds	Design		
Field Engineer	4	Remote Charge II	Devices 30	Standard	Combat	Arms a visible charge that detonates after 3 seconds for fire DMG plus PER scaling and attempts DC13 Reflex to knock down.	-	5	1 second	30 seconds	Design		
Field Engineer	3	Blaster Turret III	Devices 35	Standard	Combat	Deploys an immobile turret for 30 seconds that fires at hostile targets within 14m for high ranged energy DMG plus PER scaling.	-	6	1.5 seconds	45 seconds	Design		Defensive station. Turret attacks hostiles only.
Field Engineer	3	Repair Pulse II	Devices 38	Standard	Combat	Restores high HP to one friendly deployable, droid, or mechanical ally and removes Shock.	-	4	1 second	18 seconds	Design		
Field Engineer	4	Shock Turret II	Devices 40	Standard	Combat	Deploys an immobile turret for 24 seconds that fires shock bolts at hostile targets within 12m. Targets make DC14 Reflex or suffer Shock.	-	6	1.5 seconds	75 seconds	Design		Useful even when enemies move around.
Field Engineer	4	Incendiary Field III	Devices 42	Standard	Combat	Deploys a visible fire field for 18 seconds. Enemies inside take high fire DMG plus PER scaling every 3 seconds.	-	7	1.5 seconds	60 seconds	Design		
Field Engineer	4	Turret Targeting III	Devices 45	Standard	Trait	Turrets gain +15% hit chance, +15% critical chance, +25% HP, and +2m attack range.	-	-	-	-	Design		
Field Engineer	3	Remote Charge III	Devices 48	Standard	Combat	Arms a visible charge that detonates after 3 seconds for heavy fire DMG and attempts DC15 Reflex to knock down.	-	7	1 second	30 seconds	Design		
Field Engineer	5	Turret Killzone	Devices 50	Standard	Combat	Deploys one blaster turret and one shock turret for 18 seconds at the target location. Both attack hostile targets only.	-	9	2 seconds	2 minutes	Design		Line capstone.
Field Support	2	Deflector Shield I	-	Standard	Combat	Grants one ally 35 temporary HP plus 6% of the target's maximum HP for 45 seconds.	-	3	1 second	45 seconds	Design		Flat value keeps low-HP targets from being punished.
Field Support	2	Capacitor Rig I	Devices 5	Standard	Trait	Deflector Shield, Group Deflector, and Emergency Bunker grant 10% more temporary HP.	-	-	-	-	Design		Mitigation support, not healing.
Field Support	3	Weapon Jam I	Devices 8	Standard	Combat	Attempts DC10 Reflex to reduce one target's physical and force ability hit chance by 6% for 18 seconds.	-	4	1 second	24 seconds	Design		Folded in from old Droidbreaker concept.
Field Support	3	Power Cell I	Devices 12	Standard	Combat	Restores 10% of maximum STM to one ally and increases physical and force ability hit chance by 4% for 12 seconds.	-	4	1 second	45 seconds	Design		
Field Support	3	Deflector Shield II	Devices 15	Standard	Combat	Grants one ally 65 temporary HP plus 9% of the target's maximum HP for 45 seconds.	-	4	1 second	45 seconds	Design		Flat value keeps low-HP targets from being punished.
Field Support	3	Hardlight Screen I	Devices 18	Standard	Combat	Places a 4m screen for 15 seconds. Allies inside take 10% less ranged physical damage.	-	5	1.5 seconds	75 seconds	Design		Percentage mitigation instead of small Defense stat.
Field Support	2	Capacitor Rig II	Devices 22	Standard	Trait	Deflector Shield, Group Deflector, and Emergency Bunker grant 20% more temporary HP.	-	-	-	-	Design		
Field Support	4	Dampening Field I	Devices 25	Standard	Combat	One ally takes 10% less physical and force damage for 10 seconds.	-	5	1 second	60 seconds	Design		Short mitigation cooldown.
Field Support	3	Weapon Jam II	Devices 28	Standard	Combat	Attempts DC13 Reflex to reduce one target's physical and force ability hit chance by 10% for 18 seconds.	-	5	1 second	24 seconds	Design		
Field Support	4	Power Cell II	Devices 30	Standard	Combat	Restores 18% of maximum STM to one ally and increases physical and force ability hit chance by 6% for 12 seconds.	-	5	1 second	45 seconds	Design		
Field Support	3	Deflector Shield III	Devices 35	Standard	Combat	Grants one ally 100 temporary HP plus 12% of the target's maximum HP for 45 seconds.	-	6	1 second	45 seconds	Design		Flat value keeps low-HP targets from being punished.
Field Support	3	Hardlight Screen II	Devices 38	Standard	Combat	Places a 4m screen for 18 seconds. Allies inside take 15% less ranged physical damage.	-	6	1.5 seconds	75 seconds	Design		Percentage mitigation instead of small Defense stat.
Field Support	4	Dampening Field II	Devices 40	Standard	Combat	One ally takes 15% less physical and force damage for 10 seconds.	-	7	1 second	60 seconds	Design		Short mitigation cooldown.
Field Support	4	Group Deflector	Devices 42	Standard	Combat	Nearby allies gain 70 temporary HP plus 8% of each target's maximum HP for 30 seconds.	-	8	1.5 seconds	90 seconds	Design		Flat value keeps low-HP targets from being punished.
Field Support	4	Capacitor Rig III	Devices 45	Standard	Trait	Deflector Shield, Group Deflector, and Emergency Bunker grant 30% more temporary HP and last 10 seconds longer.	-	-	-	-	Design		
Field Support	3	Power Cell III	Devices 48	Standard	Combat	Restores 18% of maximum STM to nearby allies and increases physical and force ability hit chance by 6% for 12 seconds.	-	7	1.5 seconds	60 seconds	Design		
Field Support	5	Emergency Bunker	Devices 50	Standard	Combat	Deploys a shield bunker for 15 seconds. Allies inside gain 120 temporary HP plus 10% of each target's maximum HP and take 20% less ranged physical damage.	-	10	2 seconds	3 minutes	Design		Line capstone.
Assault Gadgets	2	Flamethrower I	-	Standard	Combat	Deals fire DMG plus PER scaling to hostile targets in a cone.	-	3	1 second	12 seconds	Design		Close-range personal device attack.
Assault Gadgets	2	Wrist Rocket I	Devices 5	Standard	Combat	Deals fire DMG plus PER scaling to one target.	-	2	1 second	18 seconds	Design		
Assault Gadgets	3	Sonic Burst I	Devices 8	Standard	Combat	Deals sonic DMG to nearby hostile targets and attempts DC10 Fortitude to interrupt activation.	-	4	1 second	30 seconds	Design		
Assault Gadgets	3	Gadget Harness I	Devices 12	Standard	Trait	Assault Gadget abilities gain +5% hit chance and +5% critical chance.	-	-	-	-	Design		
Assault Gadgets	3	Flamethrower II	Devices 15	Standard	Combat	Deals increased fire DMG plus PER scaling to hostile targets in a cone and attempts DC10 Reflex to inflict Burning.	-	4	1 second	12 seconds	Design		
Assault Gadgets	3	Rail Dart I	Devices 18	Standard	Combat	Fires a dart that deals physical DMG plus PER scaling and attempts DC12 Fortitude to inflict Bleed.	-	3	1 second	18 seconds	Design		
Assault Gadgets	2	Gadget Harness II	Devices 22	Standard	Trait	Assault Gadget abilities gain +10% hit chance and +10% critical chance.	-	-	-	-	Design		
Assault Gadgets	4	Wrist Rocket II	Devices 25	Standard	Combat	Deals increased fire DMG plus PER scaling to one target and attempts DC12 Fortitude to knock down for 2 seconds.	-	4	1 second	18 seconds	Design		
Assault Gadgets	3	Sonic Burst II	Devices 28	Standard	Combat	Deals sonic DMG to nearby hostile targets and attempts DC12 Fortitude to interrupt activation and reduce Accuracy.	-	5	1 second	30 seconds	Design		
Assault Gadgets	4	Cryo Sprayer I	Devices 30	Standard	Combat	Deals ice DMG plus PER scaling to hostile targets in a cone and slows movement for 5 seconds.	-	5	1 second	24 seconds	Design		
Assault Gadgets	3	Flamethrower III	Devices 35	Standard	Combat	Deals high fire DMG plus PER scaling to hostile targets in a cone and attempts DC14 Reflex to inflict Burning.	-	5	1 second	12 seconds	Design		
Assault Gadgets	3	Rail Dart II	Devices 38	Standard	Combat	Fires a dart that deals high physical DMG plus PER scaling and attempts DC14 Fortitude to inflict Bleed.	-	4	1 second	18 seconds	Design		
Assault Gadgets	4	Wrist Rocket III	Devices 40	Standard	Combat	Deals high fire DMG plus PER scaling to one target and attempts DC14 Fortitude to knock down for 3 seconds.	-	5	1 second	18 seconds	Design		
Assault Gadgets	4	Sonic Burst III	Devices 42	Standard	Combat	Deals sonic DMG to nearby hostile targets and attempts DC14 Fortitude to interrupt activation and reduce Accuracy.	-	6	1 second	30 seconds	Design		
Assault Gadgets	4	Gadget Harness III	Devices 45	Standard	Trait	Assault Gadget abilities gain +15% hit chance, +15% critical chance, and +10% damage.	-	-	-	-	Design		
Assault Gadgets	3	Cryo Sprayer II	Devices 48	Standard	Combat	Deals high ice DMG plus PER scaling to hostile targets in a cone and attempts DC14 Reflex to immobilize for 2 seconds.	-	7	1 second	24 seconds	Design		
Assault Gadgets	5	Overload Barrage	Devices 50	Standard	Combat	Unleashes a flamethrower burst, wrist rocket, and sonic burst against hostile targets near your primary target.	-	10	1.5 seconds	2 minutes	Design		Line capstone.
